ts i ³	ts ɛ ³
m i ¹	m i ¹
k o̠ ¹	k a ŋ ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
ʒ o̠ ³	ts o̠ ¹
dz i ¹	dz i ¹
a ŋ ¹	e̠ ¹
k u ²	kʰ y ¹
ts a ¹	ts a ¹
pʰ a ³	pʰ j a ¹
ʃ ɨ ²	ʃ ɨ ²
l o̠ ³	l u̠ ¹
l a ²	l a ²
t e ²	t e ²
ɲ j a ¹	ŋ j a̠ ¹
ɣ a ŋ ²	ɣ a ŋ ²
d a ²	d a ²
b i ³	b j e̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
z i ³	z i ³
n i ²	n i ²
m a ³	m o ²
m a ³	m a ³
m a ²	m a ²
z a ²	s u ¹
k a ŋ ¹	x a ŋ ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
g ɛ ²	s y ²
kʰ o̠ ³	kʰ o̠ ³
a ¹	a ¹
s i ³	s i ³
dz i ¹	dz i̠ ¹
t e ²	t e ²
ɣ ɨ ¹	ɣ ɨ ¹
ˀn a ¹	ˀn a ¹
k o̠ ³	k o̠ ¹
k a ²	k a ŋ ²
e ²	e ²
a ¹	a ¹
ˀm e̠ ¹	ˀm j e̠ ¹
m o ²	m o ²
tʃʰ i̠ ³	tʃʰ i̠ ³
l u ³	l u ³
¹ a ³	h a ¹
tʰ u ²	tʰ u ²
ˀm i ¹	ˀm i ¹
ˀn a ²	ˀn a ²
m a ³	m a ³
n u ¹	n a ¹
d o ŋ ¹	d u ¹
ts e ¹	tʃ e ¹
s a ²	s a ²
tʃʰ i̠ ³	tʃʰ e̠ ³
s i̠ ¹	s i̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
a ¹	a ¹
ˀn y ¹	ˀn y ¹
p a ¹	p a ¹
dz e ¹	dz e ¹
pʰ y ²	pʰ j y ²
ʃ ɛ ¹	ʃ ɛ ¹
k a ³	k a̠ ³
g j a̠ ¹	g ɛ̠ ¹
e ²	m u ²
kʰ ɨ ²	kʰ ɨ ²
m a ŋ ²	m a ŋ ²
ɲ u ¹	n u ²
ˀl i ¹	ˀl i ¹
ˀm e̠ ¹	ˀm j e̠ ¹
n y ¹	n y ¹
l o̠ ³	l o̠ ³
t i ¹	t i ¹
l u ²	l u ²
a ²	m̩ ²
ˀm a ²	ˀm a ²
a ¹	a ¹
l y ²	l y ²
ɲ j a ²	ɲ a ²
l e̠ ³	l e̠ ³
k o̠ ³	k o̠ ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
m i̠ ³	m i̠ ¹
a ²	m̩ ²
l y ¹	l y ¹
t a ¹	t u ¹
p a̠ ³	p a̠ ³
kʰ u ²	kʰ ɨ̠ ¹
tʃ a̠ ³	tʃ a̠ ³
m o̠ ³	m o̠ ³
tʃ a̠ ³	tʃ ɛ̠ ³
n i ²	ŋ i ²
tʰ y ³	tʰ y ¹
d e ¹	d e ¹
b e̠ ¹	b e̠ ¹
m u ¹	m o ²
p a ŋ ³	p ɨ̠ ¹
a ¹	a ¹
m a ³	m a ³
tsʰ a ¹	tsʰ a ¹
m o ²	m o ²
n e̠ ²	ˀn e̠ ³
ts ɛ ³	tʃ ɛ̠ ³
d ɛ ²	d ɛ ²
k u ¹	k u ²
t a ⁵⁵	t a ⁵⁵
tʰ a ²	tʰ a ²
kʰ u ¹	kʰ u ¹
dʒ i̠ ¹	dʒ i ¹
kʰ ɛ ¹	kʰ ɛ ¹
l a ŋ ³	l o̠ ³
s j a ¹	s y ¹
³ i ¹	x i ¹
n i ¹	n i ¹
g a ¹	g j a ¹
k a ³	ɣ o ²
n i ²	n̩ ²
s a ¹	s u ¹
n i ²	n̩ ²
f u ³	f u ³
k a ¹	k a̠ ³
ɲ j e ¹	ɲ e ¹
dz y ²	dʒ e ¹
u ²	n̩ ²
tʰ u ³	tʰ u ³
m a ²	m a ŋ ²
