m ɯ ³	m ɯ ⁵
qʰ o ⁴	qʰ ɔ ⁴
ts r u ŋ ¹	ts u ŋ ¹
k w ɛ ¹	k w ɛ ¹
b a ¹	b ã ¹
k o ⁵	k o ⁵
d ɯ ²	dʑ ɯ ²
l ɔ ¹	l ɔ ¹
s r ɯ ²	sʰ r ɯ ²
tsʰ j e ¹	tsʰ j i ¹
d r ɯ ⁵	d r ɯ ³
n u ¹	n j o ŋ ¹
s r e ¹	s r e ŋ ¹
pʰ æ ¹	pʰ æ ¹
m ɛ ³	m i ¹
d r ɔ ¹	d r ɔ ¹
tɕ j e n ¹	tɕ e n ¹
dʑ j æ n ³	dʑ æ n ³
ɣ ɯ ¹	ɣ ɯ ²
w æ ⁵	ŋ w æ ⁵
ts r u ⁴	ts r o ⁴
t w e n ¹	t w e n ¹
ɖʐ o ⁴	ɖʐ o ⁴
pʰ æ n ³	pʰ æ n ³
q æ ⁵	q æ ⁵
ɣ ɯ ³	ɣ ɯ ³
sʰ w ɛ ⁴	sʰ w ɛ ⁴
ɕ e ²	ɕ w i ²
sʰ r æ ⁴	sʰ r æ ⁴
m ɛ ⁵	m ɛ ⁵
m ɛ ¹	m ɛ ¹
ts w æ n ²	ʈ w æ n ²
j e ²	n j i ²
p ɯ ²	p u ²
q a ŋ ¹	q a ŋ ¹
ɣ ɯ ²	ɣ ɯ ²
ts i ²	ts i ²
m æ ⁵	m æ ⁵
kʰ u ⁴	kʰ o ⁴
d r r ɯ̃ ¹	d r ɯ̃ ¹
p r æ ⁴	p r æ ⁴
n j e n ⁴	n j e ⁴
p j e ²	p j ɛ ²
d o ¹	d r o ŋ ¹
s r o ŋ ¹	sʰ r o ŋ ¹
d j ɯ ⁴	t ɯ ⁴
