sʰ o ŋ ¹	s o ŋ ¹
q æ ⁴	q æ ⁴
pʰ ɔ ³	pʰ ɔ ³
d j ɯ ⁴	t ɯ ⁴
ts r o ŋ ¹	ts u ŋ ¹
l ɔ ¹	l a ¹
ts r i ²	ts r i ²
ɣ o ⁴	ɣ u ⁴
ŋ o ¹	ŋ o ¹
d r o ¹	d r o ŋ ¹
s j j e n ¹	sʰ j e n ¹
tɕʰ æ n ¹	tsʰ j æ n ¹
p j ɛ ³	pʰ j ɛ ³
p o ²	p j o ²
tsʰ j e n ¹	tsʰ j e n ¹
b o ²	b o ŋ ²
p u ŋ ¹	ts u ŋ ¹
tʲ ɔ ¹	d ɔ ¹
k a ŋ ¹	k a ŋ ¹
b j e ²	b j ɛ ²
s j i ²	s j i ²
s u ¹	ʂ u ¹
g u ¹	g u ¹
a ⁵	ʔ a ⁴
kʰ r o ²	kʰ r o ²
b r i r ¹	p r i ¹
ɣ ɯ ²	ɣ ɯ ²
ts o ⁴	ts o ⁴
ŋ w e n ¹	ŋ w e n ¹
m r æ ŋ ¹	m j æ ¹
ts r o ⁴	ts r o ⁴
t w e n ¹	t w e n ¹
b ɛ ¹	n ɛ ¹
ʈ r o ŋ ¹	ʈ o ŋ ¹
d r ɯ ⁴	d j ɯ ¹
qʰ w æ ³	qʰ w æ ³
k o ⁵	k o ⁵
ɕ o ⁴	ʔ o ⁴
n j o ŋ ¹	n j o ¹
sʰ o ⁴	sʰ o ⁴
tʰ r i ⁴	tsʰ r i ¹
p i ³	b r i ³
k ɔ ⁴	k o ⁴
n i o ²	n j o ²
k w a ⁴	k w a ⁴
ɖʐ a ⁴	dʑ a ⁴
q æ ⁵	q æ ⁵
