ts i ⁴	ts j i ⁴
tsʰ o ⁴	tsʰ o ⁴
n j ɛ ⁴	b j ɛ ⁴
ɣ ɯ ³	ɣ ɯ ³
d r ɯ ¹	ʈ ɯ ⁴
n u ¹	n j o ŋ ¹
d i ⁴	d i ⁴
n o ¹	n o ŋ ³
ŋ ɯ ¹	ŋ ɯ ¹
q o ŋ ¹	q o ŋ ¹
ɖʐ i ²	ɖʐ i ²
ɖʐ u ŋ ⁴	ɖʐ u ŋ ⁴
tʰ e ²	tʰ j e ²
g ɔ ¹	g ɔ ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
x w i ²	x w i ²
s a ⁴	s a ⁴
tsʰ o ŋ ³	tsʰ o ŋ ³
t ɯ ⁴	tʲ ɯ ⁵
tsʰ j i ⁴	tsʰ j i ⁴
ŋ ɔ ³	ŋ ɔ ³
g ɯ ¹	g ɯ ¹
j i ³	j i ³
t ɛ ⁴	t ɛ ⁴
o ⁴	ɔ ⁴
ɕ o ŋ ¹	ɕ o ŋ ¹
h ɔ ¹	h ɔ ¹
s j j e n ¹	sʰ j e n ¹
p ɯ ²	p ɯ ²
q æ ⁵	q æ ⁵
qʰ æ ⁴	qʰ æ ⁴
p r æ ⁴	p r a ⁴
tʰ æ n ¹	tʰ æ n ¹
ɣ ɛ ⁴	tsʰ w a ⁴
n j o ŋ ²	n j o ŋ ²
ɖʐ o ¹	ɖʐ u ŋ ¹
j æ ⁴	j a ⁴
s i ²	s r i ²
s w a ŋ ¹	s w a ŋ ²¹
ɖʐ i ⁴	ɖʐ i ⁴
ŋ o ²	ŋ u ²
d r ɯ ²	d r ɯ ²
pʰ ɯ ¹	pʰ ɯ ¹
p u ²	p ɯ ²
j a ⁴	j a ⁴
j o ²	ŋ j o ²
