ɖʐ o ¹	ɖʐ u ŋ ¹
x ɔ ³	h ɔ ³
tʰ u ³	tʰ r u ³
ts i ²	ts i ²
g u ¹	g u ¹
χ a ŋ ⁵	h a ŋ ⁵
tɕ i ¹	tɕ i ¹
b ɯ ¹	b ɯ ¹
x w i ²	x w i ²
b j e ²	b j ɛ ²
sʰ r æ ⁴	sʰ r æ ⁴
ɖʐ o ³	ɖʐ o ³
m ɛ ¹	m ɛ ¹
m ɯ ¹	m ɯ ¹
tsʲʰ i ¹	tsʰ j i ¹
tʰ r æ n ¹	tʰ æ n ¹
ɖʐ o ŋ ²	ɖʐ u ŋ ²
ɕ r a ⁴	ɕ a ⁴
dz o ŋ ¹	dz o ŋ ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
tʰ r æ n ¹	tʰ æ n ¹
tɕ e n ²	ɖʐ e n ²
s r o ⁴	s r o ⁴
p r a ŋ ⁴	b a ŋ ⁴
p j o ²	b j o ²
n ɛ ⁴	n e ⁴
m ɯ ⁴	m ɯ ⁴
n o ²	n o ²
p r e n ²	p r e n ¹
m ɔ ⁴	m ɔ ⁴
t u ²	t u ²
tɕʰ j æ n ¹	tsʰ j æ n ¹
k ɯ ¹	k ɯ ¹
n o ŋ ¹	n o ŋ ¹
h w a ⁴	h w a ⁴
tsʰ o ⁴	tsʰ o ⁴
s w a n ¹	s w a ŋ ¹
dʑ j æ n ³	dʑ æ n ³
tɕ j e n ¹	tɕ e n ¹
tɕ ɯ ¹	tɕ u ¹
b i ²	b e ²
kʰ u ¹	qʰ u ¹
s w a n ¹	s w a ŋ ²¹
dʑ i ⁴	d i ⁴
ŋ o ¹	ŋ o ³
ɖʐ j o ⁴	ɖʐ o ⁴
z ɔ ¹	z ɔ ¹
