k o̠ ³	k o̠ ¹
a ¹	a ¹
ts i ¹	ts u ¹
v e̠ ³	v e̠ ³
n i̠ ¹	n i̠ ¹
ɣ u ¹	ˀŋ y ¹
n i ¹	n i ¹
a ¹	a ¹
b a ŋ ³	b a ŋ ³
a ¹	a ¹
d i ³	d u ¹
x a ²	x a ²
g e ²	g i ²
ˀl o̠ ³	l o̠ ³
a ¹	a ¹
v ɛ ¹	v ɛ ¹
ɣ i ¹	ɣ i ¹
kʰ e ²	kʰ j ɛ ²
a ¹	a ¹
z a ²	z a ²
pʰ i ²	p i ²
kʰ ɛ ¹	kʰ j e ¹
k u ¹	k u ¹
l e̠ ³	l e̠ ³
s i ¹	ʃ ɛ ¹
m o̠ ³	m j o̠ ³
j a ³	j a ŋ ²
s a ²	s a ²
ɣ ɛ ¹	ɣ ɛ ¹
l u ²	l u ²
t i ³	t i̠ ³
s ɛ ²	s e ²
t u ¹	t u ¹
t e ²	t e ²
p a̠ ¹	p a̠ ³
p a̠ ³	p a̠ ³
ɣ ɨ ¹	ɣ ɨ ¹
m o ²	m o ²
n̩ ²	n i ²
ˀx u ²	h e̠ ³
t u ¹	tʃʰ ɛ ²
n a ³	ɲ a̠ ¹
tsʰ i ²	tsʰ i ²
g u ¹	g o ŋ ¹
dʒ ɛ ²	dʒ ɛ ²
kʰ o̠ ³	kʰ o̠ ³
a ¹	a ¹
ˀm j e̠ ³	ˀm j e̠ ¹
pʰ e ²	pʰ e ²
v e ³	ˀv ɛ ²
ˀm ɛ ¹	ˀm ɛ̠ ¹
d i ¹	d i ¹
dz e ¹	dz e ¹
m a ³	m a ³³
b ɨ ¹	b ɨ ¹
v ɛ̠ ³	v ɛ̠ ³
kʰ j i̠ ³	tsʰ i̠ ³
p ɨ ²	p j ɨ ²
z a ²	z a ²
dz y ¹	dz i ¹
kʰ e̠ ¹	kʰ e̠ ¹
b u ²	b o ¹
ts a ¹	ts a ¹
ʃ ɛ ¹	ʃ ɛ ¹
tʃʰ i ²	tʰ i ²
ʃ ɨ ²	ʃ ɨ ²
n y ¹	n y ¹
ts y̠ ³	tsʰ y̠ ³
s i̠ ¹	s i̠ ¹
b o ¹	b ɨ̠ ¹
m a ³	m a ³
dz i ³	dz ɿ ³
p a ¹	p a ¹
ɲ j a ²	ɲ a ²
ʒ i ³	ʒ e ¹
g u ²	g ɨ ¹
s e̠ ³	s e̠ ³
t u ¹	t u ¹
d e̠ ¹	d e̠ ¹
h e̠ ³	h e̠ ³
s i̠ ¹	s i̠ ¹
ʒ o̠ ³	ʒ o̠ ³
k a ³	k a̠ ³
t e̠ ¹	t e̠ ¹
m a ŋ ²	m a ŋ ²
tʃ ɨ ¹	tʰ a ¹
s ɛ ²	s ɛ ²
kʰ ɛ̠ ³	kʰ ɛ̠ ³
tʰ a ²	tʰ u ²
ˀm y ²	ˀm y ²
tsʰ e ¹	tsʰ e ¹
v e̠ ³	v e̠ ³
a ³	a ²
t o̠ ³	t o̠ ³
h y ¹	x y ¹
ts e ¹	ts e ¹
kʰ y ¹	kʰ j y ¹
ʃ ɛ ¹	ʃ ɛ ¹
ʒ u ¹	ʒ o̠ ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
d i ²	d i ²
s ɛ ¹	s e ¹
ʃ a ³	ʃ a̠ ³
t i ²	t i ²
k ɛ ³	k u ²
tʃ a ³	tʃ a ³
ʒ a ²	s u ¹
d a ³	d a ²
ʃ a̠ ³	ʃ a̠ ³
h e ¹	h e ¹
m o̠ ³	m o̠ ¹
p a̠ ²	p a̠ ³
pʰ o ²	pʰ y ²
g j a ³	g j a ³
p ɛ ²	p e ³
s a ŋ ¹	s y ¹
tsʰ u ¹	tsʰ u ¹
pʰ e ²	pʰ e ²
a ¹	a ¹
kʰ i ²	kʰ ɨ ²
dz e ¹	dz e ¹
kʰ i ¹	kʰ i ¹
a ¹	a ¹
tsʰ i ¹	tsʰ y ¹
