s o ŋ ³	s u ŋ ³
b æ ŋ ¹	b æ ŋ ¹
ɖʐ i ⁴	ɖʐ i ⁴
k w ɛ ¹	k w ɛ ¹
qʰ w a ŋ ²	qʰ w a ŋ ²
ʈ o ŋ ¹	ʈ o ŋ ¹
q a ŋ ¹	q a ŋ ¹
p j o ¹	p j e ¹
x w i ²	x w i ²
tɕ ɯ ¹	tɕ u ¹
tʰ r u ²	tʰ r u ²
q æ ⁴	q æ ⁴
ts w ɛ ⁴	ts w ɛ ⁴
kʰ ø ¹	qʰ o ŋ ¹
n i ²	n j i ⁴
g ɯ ¹	g ɯ ¹
tɕʰ æ n ¹	tɕʰ æ ¹
q ɯ̃ ²	ɣ ɯ̃ ²
d e n ²	ɖʐ e n ²
tɕʰ æ n ¹	tsʰ j æ n ¹
ɕ r a ⁴	ɕ a ⁴
z i ³	z ɯ ³
b æ n ³	b æ n ³
ʈ w æ n ²	ʈ w æ n ²
d r ɯ ⁴	d j ɯ ¹
s r o ²	s r o ²
q ɯ ¹	q ɯ ¹
ɣ ɯ ²	ɣ ɯ ²
dʑ i ³	d i ³
g o ¹	g o ¹
x ɯ ²	x ɯ ³³
d r æ n ¹	d r æ n ¹
ɣ æ ⁴	ɣ æ ⁴
ŋ r e ²	n j i ²
qʰ a ⁴	qʰ a ⁴
ŋ w e n ²	ŋ w e n ²
h w a ⁴	h w a ⁴
ɣ ɯ ²	ɣ ɯ ²
p ɛ ⁴	b ɛ ⁴
x e n ¹	x e n ¹
x e n ¹	x e n ¹
b r o ²	b o ŋ ²
d ɯ ²	dʑ ɯ ²
ts r i ¹	ts r i ¹
p j ɛ ³	pʰ j ɛ ³
s r j u ⁵	s r o ⁵
l ɔ ¹	l ɔ ¹
