ˀn e̠ ¹	ˀn i̠ ¹
m a ³	m a ³
ts a̠ ³	ts ɛ̠ ³
ɣ u ¹	ɣ o ³
kʰ o ²	kʰ o ²
d e̠ ³	d ɛ̠ ³
dʒ i̠ ²	dʒ e ³
tʃ ɨ̠ ¹	tʃ ɨ̠ ¹
v i̠ ³	v i̠ ³
m a̠ ²	m ɛ ²
n i ³	ˀn i ³
m a ²	ˀm u ¹
l a ²	l a ²
h a ¹	h a ¹
i a ³	t e̠ ³
m i ¹	m i ¹
pʰ e ²	pʰ e ²
x ɛ ¹	kʰ a̠ ¹
dz ɛ ²	dz ɛ ²
kʰ e̠ ¹	kʰ e̠ ¹
kʰ o ³	kʰ j o ³
k o ³	k o ¹
p u ¹	p u ¹
t i ²	t i ²
a ²	a ²
s ɛ ²	s ɛ ²
ɣ ɨ ¹	ɣ ɨ ¹
n e̠ ³	n i̠ ³
g a ²	g a ²
g a ³	g a̠ ³
b j a ²	b j a ²
ʃ a̠ ³	ʃ a̠ ³
tsʰ i ²	tsʰ ɿ ²
ˀn a ¹	ˀn a ¹
t y ²	t y ²
dz i̠ ²	dz i ³
a ¹	a ¹
a ¹	a ¹
m j a ²	m j a ²
³ i ³	s i̠ ¹
pʰ y ²	pʰ y ²
ʃ i ¹	ʃ i̠ ¹
d a ŋ ¹	t a ŋ ³
t a ŋ ¹	t a ŋ ¹
ʃ a ¹	ʃ a ¹
t a ¹	t u ¹
² a ŋ ¹	g a ŋ ³
tʃʰ e̠ ³	tʃʰ e̠ ³
n y̠ ¹	ˀn y ¹
b i ²	b i ²
g o̠ ³	g o̠ ¹
a ¹	a ¹
m a ²	m a ²
g ɨ̠ ²	g u ²
k a ³	k a̠ ³
dʒ a ²	dz e ²
pʰ j a ¹	pʰ a ¹
l ɛ ¹	l ɛ ¹
kʰ ɛ ²	kʰ j ɛ ²
g y ¹	g y ¹
n e ³	n e ³
b ɛ̠ ¹	b ɛ̠ ¹
kʰ a ³	kʰ a ³
a ¹	a ¹
s y ¹	s y ¹
s a ¹	s e ¹
m o ¹	m o ²
n i ³	ˀn i ³
a ¹	a ¹
ˀl i ²	ˀl i ²
tʃʰ y ¹	tsʰ y ¹
tsʰ i ¹	tsʰ i ¹
ˀv a ¹	ˀv a ¹
ɣ ɨ ³	ɣ ɨ ³
pʰ e̠ ¹	pʰ e̠ ¹
a ¹	a ¹
tsʰ u ¹	tsʰ u ¹
a ²	a ²
b o ²	b e ²
n ɛ ²	n ɛ ²
pʰ a ¹	pʰ j a ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
kʰ ɨ ²	kʰ a ²
ɣ ɛ ²	g ɛ ²
p a ¹	p a ¹
s e̠ ³	s e̠ ³
pʰ o ²	pʰ i ²
d e ³	d i ³
k i ²	tsʰ i ²
pʰ j a ŋ ¹	pʰ j a ¹
a ŋ ¹	a ¹
dʒ a ¹	dʒ e̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
ɲ j a ¹	ŋ j a̠ ¹
p e ¹	p e ¹
m a ¹	m a ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
s y ²	s y ²
b ɛ ²	b ɛ ²
u e ³	p e̠ ³
tʰ e̠ ³	tʰ e̠ ³
s y ¹	s y ¹
tʰ a ²	tʰ a ŋ ²
d ɛ ²	d ɛ ²
¹ a ¹	tʃ a ¹
b e ¹	b e ³
m j a ²	m j y ²
ɣ a ³	g a ³
m a ²	m o̠ ³
p u ²	p u ²
h e ¹	h e ¹
z e̠ ³	z e̠ ³
ʒ o̠ ¹	ʒ o̠ ¹
kʰ u ¹	kʰ u ¹
¹ a ¹	g j a ¹
a ¹	a ¹
b a ²	b a ²
m a ²	m a ²
s a ²	s a ²
m a ³	m a ³
ts ɨ ²	ts i ²
ɛ ²	ɛ ²
b y ²	b y ²
l a ¹	l a ¹
t i ³	t i̠ ³
