n j o ²	ŋ j o ²
m ɛ ⁵	m ɛ ⁵
l o ŋ ¹	l o ŋ ¹
b r i ¹	b r i ²
b ɛ ²	p ɛ ²
ɣ ɯ ¹	ɣ ɯ ²
ŋ o ¹	ŋ o ¹
tsʰ i ³	tsʰ e ³
ɣ æ ⁴	ɣ æ ⁴
o ⁴	ɔ ⁴
sʰ a ŋ ¹	sʰ a ŋ ¹
q a ŋ ¹	q a ŋ ¹
tɕ j ɯ ²	tɕ ɯ ²
qʰ e n ¹	qʰ e n ¹
m ɔ ¹	m ɔ ¹
p i ³	b r i ³
ɣ ɔ ¹	ɣ ɔ ¹
ɕ o ²	ɕ w i ²
q æ n ²	q æ n ¹
m æ ⁵	m æ ⁵
ɖʐ i ²	ɖʐ i ²
ɣ u ²	ɣ u ŋ ²
b ɯ ¹	b ɯ ¹
d r ɯ ²	d r ɯ ²
s j e n ¹	s j e n ¹
m r æ ŋ ¹	m j æ ¹
p ɯ ²	p u ²
j e n ¹	j e n ¹
ɖʐ w e n ⁵	ɖʐ w e n ⁵
qʰ ɯ̃ ¹	qʰ ɯ̃ ¹
d ɔ ⁵	d ɔ ⁵
m æ ¹	m æ ¹
qʰ w æ ¹	qʰ w æ ³
ŋ ɯ ¹	ŋ ɯ ¹
ts r o ²	ts r ɔ ²
tʰ r o ŋ ²	tʰ u ²
ʁ ¹ ⁴	ʁ ɯ ⁴
q ɯ ¹	q ɯ ¹
s j i ⁴	s j i ⁴
tʰ u ²	tʰ j u ²
ɣ ɯ ²	ɣ ɯ ²
p æ ⁴	p æ ⁴
g u ¹	g u ¹
q w ɛ ⁵	q w ɛ ³
ɖʐ o ⁴	ɖʐ o ⁴
ts u ŋ ¹	ts u ŋ ¹
