s e ¹	s r ɯ ²
q ɯ ¹	q ɯ ¹
ts o ⁴	ts o ⁴
s j i ²	s j i ²
s j i ²	s j i ²
b æ ¹	b æ ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
q æ ⁵	q æ ⁵
m ɯ ³	m ɯ ⁵
g ɔ ¹	g ɔ ¹
tʰ r o ⁴	tʰ r o ⁴
tʰ a ⁴	tʰ a ⁴
d ɯ ³	d ɯ ⁵
ɕ o ŋ ¹	ɕ o ŋ ¹
k u ²	k u ²
q ɯ ²	ɣ ɯ̃ ²
m r æ n ¹	m j æ ¹
j ɔ ⁴	j ɔ ⁴
s a ⁴	s a ⁴
pʰ r æ ⁴	pʰ r a ⁴
k ɯ ¹	k ɯ ¹
ɕ o ²	w u ⁴
k o ŋ ¹	k o ŋ ¹
x e n ¹	x e n ¹
p j o ŋ ¹	z r o ŋ ¹
b ɯ ¹	b ɯ ¹
n o ŋ ¹	n j o ¹
m æ ŋ ²	m æ ²
k ɯ ¹	k ɯ ¹
sʰ ɛ ⁴	sʰ ɛ ⁴
k w a ¹	k w a ⁴
m r i ¹	m j i ¹
m æ ¹	m æ ¹
ɖʐ i ⁴	ɖʐ i ⁴
b r i n ¹	p r i ¹
m a ⁴	m a ⁴
q a ŋ ¹	q a ŋ ¹
qʰ w a ⁴	qʰ w a ⁴
q æ ¹	q æ n ¹
b æ ⁴	b æ ⁴
s e n ¹	sʰ j e n ¹
ɣ ɯ ²	ɣ ɯ ²
ɣ u ²	ɣ u ŋ ²
ŋ w a ⁴	ŋ w a ⁴
d ɛ ⁴	d r ɛ ⁴
dʑ i ³	d i ³
