k ɛ ²	k j e ²
dz y ¹	dz i ¹
ˀn a ²	ˀn a ²
b a ²	b o ³
ɲ e̠ ³	n i̠ ³
pʰ u ¹	pʰ e̠ ¹
a ³	a ¹
t a ¹	t ɛ ¹
pʰ e ²	pʰ e ²
dz i̠ ¹	dz e ¹
pʰ y̠ ³	pʰ y̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
ˀn e ²	n e ²
a ¹	a ¹
m a ³	m a ³
ˀl i ³	ˀl i ³
l e̠ ³	l e̠ ³
s u ¹	ʒ a ¹
kʰ u ¹	kʰ u ¹
tsʰ u ¹	tsʰ u ¹
v i̠ ¹	ˀv i̠ ³
ˀl o̠ ¹	ˀl o̠ ¹
s e ¹	s e ¹
tsʰ e ¹	tsʰ e ¹
h e̠ ³	h e̠ ³
p ɨ ²	p j ɨ ²
x i ¹	h ɛ̠ ¹
dz ɛ ²	dz ɛ ²
ʒ i̠ ³	ʒ i̠ ³
ʃ i ¹	ɣ i ¹
s i̠ ¹	s i ²
ɣ a ³	g a ³
x ɛ ²	x ɛ ²
g ɛ ²	g ɛ ²
g u ²	g o ²
a ¹	a ¹
d u ³	d u ¹
p y ¹	p y ¹
tʰ u ³	tʰ u ³
tsʰ u ¹	tsʰ u ¹
n̩ ²	n i ²
b e̠ ¹	b e̠ ¹
a ²	a ²
m e̠ ³	ˀm e̠ ³
kʰ u ¹	kʰ u ¹
v a ³	v a ³
dʒ y ²	dz y ²
m e ³	m ɛ ³
j a ³	j a ŋ ²
t a ⁵⁵	t a ⁵⁵
ˀl a ³	l e̠ ³
p ɛ ³	p ɛ ³
b o ²	b o ²
m u ¹	m j a ²
ˀn ²	n u ²
pʰ u ¹	pʰ u ³
a ¹	a ¹
n y ²	n y ²
n ²	n i ²
z a ²	z a ²
m a ³	m o ²
l o̠ ³	l u̠ ¹
h a ¹	h a ¹
kʰ a ²	kʰ a ²
tʃʰ e ¹	kʰ j e ¹
k ɛ̠ ¹	k j o ¹
h ³ ¹	h y̠ ³
t a ¹	t ɛ ¹
ˀl u ²	l i ²
l a ¹	l a ¹
v a ²	v a ²
n e ¹	n e ¹
d i̠ ¹	d i ¹
ʃ u ¹	h u ¹
ʃ u ¹	s e ³
b a ³	b a ³
d a ¹	t a ŋ ³
ˀl u ³	l u ³
n ɛ̠ ¹	n ɛ ³
k a ¹	z ɛ ¹
m ɛ ²	m e ²
tʃʰ i ²	tʃʰ i ²
ŋ ¹ a ŋ ¹	b j y ¹
z a ²	s u ¹
dz i̠ ²	dz i ²
tʃ a ³	tʃ a ³
m a ŋ ³	m a ŋ ³
a ¹	a ¹
n i ²	n i ²
k ɛ ³	k u ²
ɣ i ¹	ɣ i ¹
f u ³	f u ³
dz i ¹	dz i ¹
ɣ i ¹	ɣ i ¹
b y ¹	b y ¹
ˀl o̠ ³	ˀl o̠ ¹
d e ¹	d e ¹
a ²	a ²
a ²	a ²
tʃ a̠ ³	tʃ a̠ ³
s j a ¹	s y ¹
b a ²	b a ²
m a ³	m a ³³
ɨ̠ ²	ɨ̠ ³
tʃ a̠ ³	tʃ a̠ ³
ʃ o ¹	ɣ u ²
pʰ e̠ ¹	pʰ e̠ ¹
tsʰ i ¹	tsʰ i ¹
ˀn a ³	ɲ a̠ ¹
kʰ i ¹	kʰ i ¹
dz a ŋ ¹	dz a ŋ ¹
ˀl a ²	ˀl a ²
l a ²	l a ²
g u ¹	g o ŋ ¹
m a ³	m a ³
ŋ a ¹	ŋ a ¹
z a ²	z a ²
h ɛ̠ ¹	h ɛ̠ ¹
a ¹	a ¹
ʃ a̠ ³	ʃ a̠ ³
ʒ u ²	ʒ i̠ ³
h e̠ ³	h e̠ ³
pʰ e ¹	pʰ e ¹
n e̠ ¹	ŋ j a̠ ¹
pʰ ɛ ²	pʰ ɛ ²
