k u ¹	k o̠ ³
l u ¹	l u ¹
t u ¹	t u ¹
l y ³	ˀl y ³
s i̠ ¹	s i̠ ¹
l ɛ̠ ³	l ɛ̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
p o̠ ¹	p o̠ ¹
v e ¹	v e ¹
a ¹	a ²
tʃ ɨ ¹	tʃ ɨ̠ ¹
tʰ a ³	tʰ a ³
n i ²	n i ²
g i ²	g u ²
s i ³	s i ³
t a̠ ³	t a̠ ³
n e̠ ³	n e̠ ³
l a ³	l a ³
k j o ³	k o ³
p a̠ ¹	p a̠ ³
pʰ e̠ ²	pʰ i̠ ³
s i̠ ¹	s i̠ ¹
t i ²	t i ²
tsʰ y ¹	tsʰ y ¹
z i ³	z i ³
n i ²	n i ²
g y ¹	g y ¹
ˀl u ¹	ˀl u ³
u u ³	f u ³
v ɛ̠ ³	v ɛ̠ ³
tʃʰ i ²	tʃʰ i ²
m u ¹	ˀm u ¹
m a ³	m a ³³
m a ³	m a ³
k a ŋ ³	k j i ³
ˀl o̠ ³	ˀl o̠ ¹
dz e ¹	dz e ¹
m j a ŋ ¹	m j a ŋ ¹
pʰ i̠ ³	pʰ i̠ ³
ˀm e̠ ³	ˀm e̠ ¹
ʃ ɨ ²	ʃ ɨ ²
ɣ i ¹	ɣ i ¹
ɣ a ³	ɣ a ³
ʒ i ³	ʃ i ³
ɣ i ¹	ɣ i ¹
b ɛ ¹	b ɛ ¹
s e̠ ³	s e̠ ³
s ɛ ²	s ɛ ²
ɣ i ³	ɣ i ¹
ʃ y ¹	ɣ u ²
dʒ i ³	dʒ i ³
k u ³	k u ³
dz i ¹	dz i ¹
t y ²	t y ²
pʰ y̠ ³	pʰ y̠ ³
a ³	a ²
tsʰ y ¹	tsʰ y ¹
m ɛ ²	m ɛ ²
ˀl o̠ ¹	ˀl o̠ ¹
l ɛ ¹	l ɛ ¹
n e̠ ³	ˀn e̠ ³
ʃ a ŋ ¹	ʃ u ³
g u ²	kʰ u ²
a ¹	a ¹
m e ¹	ˀm j y̠ ¹
p u ¹	p u ¹
h ɛ̠ ¹	h ɛ̠ ¹
d e̠ ³	d ɛ̠ ³
h a ¹	h a ¹
tʃʰ u̠ ¹	tʃʰ o̠ ¹
k o̠ ³	k o̠ ¹
g a ³	g a̠ ³
dz ɛ ²	dz ɛ ²
h e ¹	h e ¹
g a ³	g a ³
tʰ u ²	tʰ u ²
m i ¹	m i ¹
pʰ u ²	pʰ u ¹
a ¹	a ¹
t u ¹	tʃʰ ɛ ²
n̩ ²	n i ²
pʰ e ²	pʰ e ²
l i ³	ˀl i ³
pʰ ɛ ²	pʰ ɛ ²
n y ¹	n y ¹
ɣ u ²	ɣ u ²
a ¹	a ¹
ts ɛ ¹	ts ɛ ¹
d e̠ ³	d ɛ̠ ³
ts i ³	x i ³
n i ¹	n i ¹
p ɨ ²	p y̠ ¹
e ²	e ²
pʰ e ²	pʰ e ²
x a ¹	x a ¹
s a ²	s a ²
g a ¹	g a ¹
tsʰ a ²	tsʰ a ²
k a ŋ ²	k a ŋ ²
b j a ²	b j a ²
m a ²	m a ²
k e ³	k j i ³
z i ²	z i ²
ɣ a ŋ ²	ɣ a ŋ ²
dz i ³	dz i ²
d a ¹	d a ¹
ˀx ɛ ²	x ɛ ²
m a ²	m a ³
t a ⁵⁵	t a ⁵⁵
l a ²	l a ²
n a ¹	n a ¹
k a ŋ ³	k a ŋ ²
p u ¹	p u ¹
g j a̠ ¹	g ɛ̠ ¹
ˀn e̠ ¹	ˀn e̠ ¹
i ²	i ²
ˀŋ j a ¹	ŋ j a̠ ¹
k j ɛ̠ ¹	k ɛ ³
ˀn a ³	ˀn u̠ ³
h ¹ ²	h y̠ ³
p a ¹	p a ¹
ɣ i ¹	ɣ y ¹
s ɛ ¹	s e ¹
u u ³	f u ³
