l̥ ei ⁵⁵	l ei ⁵⁵
n o k̚ ⁵¹	n o k̚ ⁵¹
ˀb ə ¹¹	ˀb ə ¹¹
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
tʰ a ¹¹	tʰ a ¹¹
k ə ʔ̚ ⁵¹	k ə ʔ̚ ⁵¹
w ɛ ⁵⁵	w ɛi ⁵⁵
b o ¹¹	b o ¹¹
m a ⁵⁵	m̥ a ⁵⁵
l̥ w i ¹¹	l w i ¹¹
l̥ w ɛ ⁵⁵	l w ɛ ⁵⁵
k ai ¹¹	n ei ¹¹
ˀd u ¹¹	ˀd ə ŋ ¹¹
k ə ⁰ ⁵⁵	k ə ⁰
cʰ u ɴ ⁵⁵	cʰ u ɴ ⁵⁵
tʰ w i ¹¹	tʰ w i ¹¹
kʰ e ⁵⁵	kʰ e ⁵⁵
ʔ e ¹¹	ʔ e ¹¹
l̥ e ʔ̚ ⁵¹	l e k̚ ⁵¹
s a ɴ ⁵⁵	s a ɴ ⁵⁵
m i ⁵⁵	m i ⁵⁵
m ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
ʔ a ⁵⁵	ʔ a ⁵⁵
k w i ¹¹	ŋ w i ¹¹
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
r w i ʔ ⁵¹	r̥ w i ʔ̚ ⁵¹
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
g a ŋ ⁵⁵	g a ŋ ⁵⁵
l̥ ɛ m ¹¹	l̥ ɛ m ¹¹
s r ɔ ¹¹	s r ɔ ¹¹
h ou ¹¹	h ou ¹¹
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
p i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
t a ⁵⁵	t ə ʔ̚ ⁰
b ə ⁰	b ə ʔ̚ ⁰
p ə ⁰	l a ʔ̚ ³³
