pʰ o ²	pʰ y ²
dz i ¹	dz i ¹
g y̠ ³	g u̠ ³
ts u ¹	ts u ¹
ˀn a ¹	ˀn a ¹
h e̠ ³	h e̠ ³
dʒ a ŋ ¹	dʒ a ŋ ¹
s i ²	ts u ²
tʃʰ ɨ̠ ²	tʃʰ ɨ ²
dz i ¹	dz i̠ ¹
ˀm i ³	ˀm i ³
tsʰ e̠ ¹	tsʰ e̠ ¹
d u ¹	d u ¹
s y ²	s y ²
s i ³	s i̠ ¹
pʰ a ŋ ²	tʰ a ŋ ²
g ɛ ²	kʰ u ²
k e̠ ²	k j e ²
tʰ a ²	d a ²
tʃ e̠ ³	ts e̠ ³
dʒ i ²	dz i ²
pʰ o ¹	pʰ u ²
b o̠ ³	b o̠ ¹
tʃʰ e̠ ¹	e̠ ¹
s e ¹	s a ¹
tʰ y ¹	tʰ y ¹
kʰ y ¹	kʰ j y ¹
tsʰ e ²	tʃʰ e ²
g u ²	g ɨ ²
d y ¹	d y ¹
l e̠ ³	l e̠ ³
kʰ o̠ ¹	kʰ o̠ ¹
ˀn i ³	ˀn i ³
pʰ a ¹	pʰ j a ¹
ˀl o̠ ³	l o̠ ³
pʰ y ²	pʰ j y ²
tsʰ a ¹	tsʰ a ¹
l o̠ ³	l o̠ ³
x a ³	ˀx a ³
a ¹	a ¹
g u ²	g u ²
p ɨ ²	p y̠ ¹
ɣ i ¹	ɣ i ¹
pʰ u ¹	pʰ u ¹
a ¹	a ¹
s ɛ ²	s ɛ ²
l u ¹	l u ¹
l ɛ ¹	l ɛ ¹
m o̠ ³	m o̠ ¹
n ɛ ²	n ɛ ²
g o̠ ¹	g o̠ ¹
k u ¹	k u ²
ʃ a ¹	ʃ a ¹
d i ²	d i ²
n i ²	n i ²
ʃ a̠ ³	ʃ a̠ ³
ʒ i ³	ʃ i ³
b ɛ ¹	b e ³
b y ²	b y ²
tʃʰ i̠ ¹	tsʰ i̠ ¹
d e̠ ¹	d e̠ ¹
kʰ u ¹	kʰ u ¹
j a ³	j a ŋ ²
s e ²	s e ²
k j a ³	k a ²
ˀn o ²	ˀɲ y ²
t a ³	tʰ a ²
a ²	a ²
tsʰ ɛ ¹	tsʰ ɛ ¹
k u ¹	k u ¹
kʰ o̠ ³	kʰ o̠ ³
t u ¹	t u ¹
b y ³	b y̠ ³
kʰ ɨ̠ ³	kʰ ɨ̠ ³
l a ¹	l a ¹
s a ²	s a ²
l y ²	l y ²
g o̠ ³	g o̠ ³
n i ²	n̩ ²
p ɨ ²	p j ɨ ²
ɣ a ŋ ²	ɣ a ŋ ²
b y ¹	b y ¹
g j ɨ ¹	g ɨ ¹
ɣ ɛ ²	ɣ ɛ ²
ɣ ɨ ¹	ɣ ɨ ¹
x a ²	ɣ o ²
l a ³	l a ³
d i ²	d i ²
d i ¹	d i ¹
t e̠ ¹	t i̠ ¹
h a ¹	h a ¹
t i ³	t i̠ ³
m o ²	m u ²
ˀl o̠ ³	ˀl o̠ ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
z a ²	z a ²
s a ¹	s a ¹
k e ²	k j ɛ ²
ɣ i ¹	ɣ y ¹
tʰ a ²	tʰ a ŋ ²
l u ³	l u ³
t u ¹	t u ¹
h e̠ ³	h e̠ ³
i ³	i ²
b i ³	b j e̠ ³
m y̠ ¹	ˀm j y̠ ¹
x a ¹	x a ¹
b ɛ ²	b ɛ ²
pʰ i ²	pʰ i ²
m ɛ ¹	ˀm ɛ ¹
ˀv a ¹	ˀv a ¹
t a ŋ ¹	t a ŋ ¹
ˀn i ¹	ˀn i ¹
n ɛ ¹	ɲ e ¹
s ɛ ²	s ɛ ²
ɣ ɨ ³	ɣ ɨ ³
b o ¹	b o ¹
s a ²	s u ¹
dz y ¹	dz y ¹
a ¹	a ¹
l a ŋ ²	l a ŋ ²
dz a ¹	dz a ²
tʰ a ²	tʰ a ²
g j a ³	g j a ³
