tʃʰ i ¹	tʃʰ e ¹
g u ²	g a ŋ ³
a ¹	a ¹
ɣ ɨ ²	ɣ ɨ ²
d u ²	d u ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
d e̠ ³	e̠ ¹
g a ²	g j a ²
ts a ³	ts a ³
t e ²	t e ²
p a̠ ³	p a̠ ³
tʰ a ŋ ²	tʰ o ²
g ɛ ²	kʰ u ²
b y ²	b y ²
k a ŋ ³	k a̠ ³
tʰ a ²	tʰ a ²
dz i ³	dz i ³
dz y ¹	dz y ¹
a ¹	a ¹
ɣ i ¹	ɣ i ¹
ˀl a ¹	ˀl a ¹
h e ³	h e̠ ³
t u ¹	t u ¹
z a ²	z a ²
m i ²	m o ²
v i̠ ³	v i̠ ³
kʰ i ²	kʰ ɨ ²
a ¹	a ¹
ˀl o̠ ¹	ˀl o̠ ¹
pʰ ɛ ¹	pʰ e̠ ¹
d e̠ ³	d ɛ̠ ³
ɣ ɨ ¹	ɣ ɨ ¹
d a ¹	t a ŋ ³
a ¹	a ¹
n y ²	n y ²
ts i̠ ²	ts e ²
s e̠ ³	ʃ e̠ ³
ʒ a ²	ʒ o̠ ³
k j ɛ ²	k j ɛ ²
g u ¹	g o ŋ ¹
k j a ³	k a ²
n̩ ²	n i ²
k o̠ ³	k o̠ ¹
n i ²	n i ²
d i ²	d i ²
tʰ a ³	tʰ e̠ ³
t i ¹	t a ³
x a̠ ³	x a̠ ³
ɣ a ³	ˀx o̠ ¹
dz e ¹	dz e ¹
m e̠ ¹	m e̠ ³
b y ²	b y ²
b y ¹	b y ¹
a ¹	a ²
tsʰ a ¹	tsʰ a ¹
h e̠ ²	h e̠ ³
p ɨ ²	p y̠ ¹
ˀm e̠ ³	ˀm j e̠ ¹
s i̠ ¹	s i̠ ¹
kʰ ɛ ³	kʰ y̠ ¹
b j a ²	b j a ²
z a ²	z a ²
ts ɛ̠ ³	ts ɛ̠ ³
tʃ ɛ ³	tʃ ɛ̠ ³
t u ¹	t u ¹
n ɛ̠ ¹	n ɛ ³
tsʰ a ²	tsʰ a ²
d a ¹	d a ¹
m ²	m o ²
b i ¹	b i ¹
m e ¹	ˀm j y̠ ¹
k a ¹	k a ŋ ¹
b a ³	b a ³
b u ³	b y̠ ³
s e̠ ³	s e̠ ³
a ¹	a ¹
ʃ i ¹	ˀx y ¹
a ¹	a ¹
kʰ ɛ̠ ¹	kʰ a̠ ¹
p ɛ̠ ¹	p ɛ̠ ¹
l a ²	l a ²
b a ²	b a ²
ɣ a ³	ɣ a ³
ʒ i ¹	x i ¹
g o̠ ¹	g o̠ ¹
dz i ¹	dz i ¹
tsʰ a ¹	tsʰ ɛ̠ ¹
s ɛ ²	s ɛ ²
b o̠ ¹	b o̠ ¹
b a ²	b a ²
t o̠ ³	t o̠ ³
pʰ y ²	pʰ y ²
ˀm ɛ ¹	ˀm ɛ ¹
b ɛ ¹	b ɛ̠ ¹
b o ²	b o ²
a ²	a ¹
d e̠ ¹	d e̠ ¹
k ɛ ³	k u ²
ʃ a̠ ³	ʃ a̠ ³
t i ²	tʃʰ u ²
l y ¹	l y ¹
ɨ̠ ²	ɨ̠ ³
ʒ e ³	ʃ i ³
ɣ i ¹	ɣ i ¹
ɣ o ³	ɣ y̠ ³
pʰ o ²	pʰ y ²
s a ²	s u ¹
l a ¹	l a ¹
t i ¹	t ɛ ¹
ˀm ɛ ¹	ˀm ɛ̠ ¹
tʰ a ³	tʰ a ³
ʃ i ¹	ʃ i̠ ¹
ˀn u̠ ³	ˀn u̠ ³
a ¹	a ¹
ˀl a ³	ˀl u ³
s i̠ ¹	s i̠ ¹
tsʰ i ²	kʰ j i ²
ˀn i ³	ˀn i ³
ʃ ɨ̠ ³	ʃ ɨ̠ ³
d e ¹	d e ¹
m o ²	m o ²
pʰ ɛ ¹	pʰ ɛ ³
b ɛ̠ ¹	b ɛ̠ ¹
ˀl y ²	ˀl y ²
