n̥ ou ʔ̚ ⁵¹	n ə ʔ ⁵¹
ˀb ei ¹¹	ˀb i ¹¹
n̥ ei ⁵⁵	n ei ⁵⁵
s r ei ¹¹	s r ei ¹¹
k ə ⁰	k ə ⁰
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
n w i t ⁵⁵	ˀn w e t̚ ⁵¹
m ei ¹¹	m̥ ei ¹¹
r ə ⁵⁵	t r e ⁵⁵
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
j o ⁵⁵	j o ⁵⁵
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
m ə ŋ ¹¹	m ə ŋ ¹¹
ˀd o ¹¹	ˀd o ¹¹
s r a ⁵⁵	s r a ⁵⁵
k l̥ ɛ ⁵⁵	k l ɛ ⁵⁵
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
j a m ¹¹	j a m ¹¹
s ɨ ɴ ¹¹	s w ɨ n ¹¹
s w a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
kʰ o ¹¹	kʰ o ⁵⁵
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
l e ¹¹	l e ¹¹
m̥ ei ⁵⁵	m̥ ei ⁵⁵
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
cʰ ou ¹¹	cʰ r ou ¹¹
m̥ a ¹¹	m̥ a ¹¹
n e ⁵⁵	n̥ e ⁵⁵
ˀd a ⁵⁵	ˀd a ⁵⁵
