b j e ²	b j ɛ ²
ts o ⁴	ts o ⁴
tsʰ r i ¹	tsʰ r e ŋ ¹
p j ɔ ⁴	p j o ⁴
b ɯ ¹	b ɯ ¹
qʰ w ɛ ²	kʰ w ɛ ²
m e ¹	m e ¹
e ²	ɕ w i ²
tɕ i ¹	tɕ i ¹
q ɯ ¹	q ɯ ¹
b u ²	b ɯ ²
tʰ u ŋ ²	tʰ u ²
m æ ⁴	m æ ⁴
tɕ j ɯ ²	tɕ ɯ ²
d r e ⁴	d r ɛ ⁴
sʰ w a ⁴	sʰ w a ⁴
tsʰ o ⁴	tsʰ o ⁴
s r o ¹	s r o ¹
p r a ⁴	p r a ⁴
qʰ o ¹	qʰ u ¹
tʰ u ¹	tʰ r u ¹
n i o ²	n j o ²
q æ n ¹	q æ n ¹
ʁ ¹ ¹	ʁ ɯ ⁴
tɕʰ j e n ¹	tsʲʰ e n ¹
g u ¹	g u ¹
a ⁵	ʔ a ⁴
d ɯ ⁴	tʲ ɯ ⁵
p j o ¹	pʰ j u ŋ ¹
b o ²	b o ŋ ²
q æ ⁵	q æ ⁵
d r ɔ ¹	d r ɔ ¹
d ɛ ⁴	d ɛ ⁴
x w i ²	x w i ²
pʰ ɯ ¹	pʰ ɯ ¹
q w a ⁴	q w a ⁴
tʰ r r o ⁴	tʰ r o ⁴
m ɯ ⁴	m ɯ ⁴
ɖʐ o ¹	ɖʐ u ŋ ¹
m ɛ ⁵	m ɛ ⁵
tɕʰ j æ n ¹	tsʰ j æ n ¹
ʔ w e n ¹	ʔ w e n ¹
ɣ ɛ ⁴	tsʰ w a ⁴
q æ ⁴	q æ ⁴
m a ⁴	m a ⁴
ŋ ɔ ³	ŋ ɔ ³
sʰ ɛ ⁴	sʰ ɛ ⁴
