q æ n ²	q æ n ¹
tʰ r i ⁴	tsʰ r i ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
b æ ¹	b æ ¹
q w a ⁴	q w a ⁴
m æ ¹	m æ ¹
b ɯ ²	b ɯ ²
ɕ r æ n ¹	s j æ n ¹
m r i ¹	m j i ¹
n o ¹	n o ŋ ³
b w e n ¹	ʔ w e n ¹
s r e ŋ ¹	sʰ r e ŋ ¹
s ɔ ²	s ɔ ²
sʰ w a ⁴	sʰ w a ⁴
tsʰ j i ⁴	tsʰ j i ⁴
ts r e ¹	ts r e ŋ ¹
p ɯ ²	p u ²
h ɔ ³	h ɔ ³
ŋ j e n ²	n j e n ¹
ŋ ɔ ¹	ŋ ɔ ¹
p r æ ⁴	p r æ ⁴
ɣ w a ¹	ɕ w i ²
k o ⁵	k o ⁵
n u ¹	n j o ŋ ¹
n w æ ⁴	x w a ¹
n o ²	n o ²
tʰ r r u ²	tʰ r u ²
j a ⁴	j a ⁴
ɕ i ⁴	ɕ i ⁴
tʰ æ n ¹	tʰ æ n ¹
s r r æ ²	s r e ŋ ²
ŋ w e n ¹	ʔ w e n ¹
ɖʐ o ⁵	ɖʐ o ³
dʑ i ³	d i ³
χ w a ⁴	h w a ⁴
s r w a n ¹	s w a ŋ ¹
pʰ æ ¹	pʰ æ ¹
ŋ j e n ²	n j e n ¹
ʈ r æ ⁴	ʈ æ ⁴
b e ¹	p e ¹
dz i ¹	dz i ¹
ɣ ɯ ³	ɣ ɯ ³
tɕʰ i ¹	tɕʰ i ¹
g ɯ ¹	g ɯ ¹
tɕ r ɯ ²	tɕ ɯ ²
g ɔ ¹	g ɔ ¹
