j ei ⁵⁵	j ai ⁵⁵
m ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
g r ei ¹¹	kʰ r ei ¹¹
ˀd ei ¹¹	ˀd ei ¹¹
r ɔ ⁵⁵	r ɔ ⁵⁵
k a ə ⁰	k ə ʔ̚ ⁰
cʰ a n ⁵⁵	cʰ j a ɴ ⁵⁵
tʰ w a ŋ ¹¹	tʰ w a ɴ ¹¹
tʰ a ⁵⁵	tʰ a ⁵⁵
l e ¹¹	l e ¹¹
kʰ a ¹¹	kʰ a ¹¹
ˀb a ¹¹	ˀb a ¹¹
k ə ⁵⁵	k ɨ ⁵⁵
cʰ a n ¹¹	cʰ j a ɴ ¹¹
tʰ a m ⁵⁵	tʰ a m ⁵⁵
ˀb i ¹¹	ˀb i ¹¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
l̥ w ɛ ⁵⁵	l w ɛ ⁵⁵
b i ¹¹	b i ¹¹
l ei ⁵⁵	l ei ⁵⁵
s ə ⁰	s ə ⁰
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
k ə ⁰ ⁰	k ə ⁰
l w i ⁵⁵	l̥ w i t̚ ⁵⁵
cʰ a ʔ̚ ⁵¹	cʰ a ʔ̚ ⁵¹
kʰ l e ⁵⁵	kʰ l i ⁵⁵
m i ⁵⁵	m i ⁵⁵
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
m a ⁵⁵	m a ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
⁰ ə ⁰	p ə ⁰
tʰ o ¹¹	tʰ o ¹¹
kʰ u ¹¹	kʰ u ¹¹
pʰ r u ⁵⁵	pʰ r u ɴ ⁵⁵
