qʰ w i ²	kʰ w ɛ ²
pʰ r æ ¹	pʰ r æ ¹
ŋ j e ²	n j i ²
ɣ ɯ̃ ²	ɣ ɯ ²
s r u ⁵	s r o ⁵
ts w ɛ ⁴	ts w ɛ ⁴
x w i ²	x w i ²
ts u ŋ ¹	ts u ŋ ¹
p j o ⁴	p j u ⁴
d ɔ ⁵	d ɔ ⁵
n j ⁴	n j i ⁴
p æ n ²	p æ n ²
g o ¹	g o ¹
ɖʐ i ⁴	ɖʐ i ⁴
s r ɯ ²	sʰ r ɯ ²
k r u ŋ ²	ɣ u ŋ ²
j a ⁴	j a ⁴
s j i ²	s j i ²
kʰ r o ²	kʰ r o ²
q a ŋ ¹	q a ŋ ¹
ʈ r æ ⁴	ʈ æ ⁴
p r e n ¹	p r e n ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
ts r e ŋ ¹	ts r e ŋ ¹
q æ n ²	q æ n ²
ɖʐ o ⁴	ɖʐ o ³
tsʰ j w e n ¹	tsʰ w e n ¹
s j e n ¹	s j e n ¹
d ɛ ⁴	d ɛ ⁴
m o ²	m ø ²
ts e ⁵	d j ɛ ⁵
ɣ o ²	k r o ²
z e n ¹	z e n ¹
m ɯ ⁴	m ɯ ⁴
dz o ⁴	dz o ⁴
ɖʐ i ¹	ɖʐ i ¹
ɕ o ŋ ¹	ɕ o ŋ ¹
b r i r ¹	p r i ¹
k r o ³	g r o ŋ ³
b ɔ ³	b ɔ ³
q o ⁴	q ɔ ⁴
m r a ŋ ¹	m j æ ¹
ɣ ɛ ⁴	tsʰ w a ⁴
d i ²	dʑ i ²
sʰ w a ⁴	sʰ w a ⁴
qʰ ɛ n ¹	qʰ e n ¹
s ɯ ²	sʰ r ɯ ²
