p j o ⁴	p j u ⁴
qʰ ɔ ¹	qʰ ɔ ¹
s w a ¹	s w a ŋ ²¹
s o ⁴	s r o ⁴
tʰ r r o ⁴	tʰ r o ⁴
q ɯ ¹	q ɯ ¹
q ɯ ¹	ɣ ɯ ¹
pʰ j ɛ ²	p j ɛ ²
b r i r ¹	p r i ¹
tsʲʰ i ¹	tsʰ j i ¹
d r ɔ ¹	d r ɔ ¹
tsʰ i ³	tsʰ e ³
p e ²	p ɛ ²
k o ŋ ¹	ɣ o ŋ ¹
m ɯ ³	m ɯ ⁵
tʰ ɯ̃ ⁴	tʰ ɯ̃ ⁴
s r ɔ ²	s ɔ ²
d ɔ ⁵	d ɔ ⁵
qʰ o ŋ ¹	qʰ o ŋ ¹
pʰ r a ⁴	pʰ r a ⁴
m r æ ŋ ¹	m j æ ¹
w æ ⁵	ŋ w æ ⁵
tɕ j æ ⁴	tɕ æ ¹
s j e n ¹	s j e n ¹
p r o ¹	p r ɔ ¹
sʰ w a ⁴	sʰ w a ⁴
q æ n ²	q æ n ¹
m ɛ ¹	m ɛ ¹
m i ³	m i ¹
tʰ u ²	tʰ u ²
tʰ u ²	tʰ r u ²
tsʰ j w e n ¹	tsʰ w e n ¹
d o ⁴	d r o ⁴
m ɯ ¹	m ɯ ¹
p j i ¹	p e ¹
¹ a n ¹	d r æ n ¹
d j w a ⁴	d w a ⁴
sʰ w a ŋ ³	sʰ w a ŋ ³
ɣ æ ⁴	ɣ æ ⁴
ɖʐ a ⁴	dʑ a ⁴
sʰ ɛ ⁴	sʰ ɛ ⁴
ŋ æ ¹	ŋ ɔ ¹
g r o ²	k r o ŋ ¹
ɣ a ¹	ɣ æ ¹
tʰ r a ⁴	tʰ j æ ⁴
o ⁴	ɔ ⁴
q w a ⁴	ɣ w a ⁴
