t o̠ ³	d o̠ ³
b ɛ ²	b o ¹
ˀm j ɛ ¹	ˀm ɛ ¹
kʰ e̠ ¹	kʰ e̠ ¹
d u ¹	d a ŋ ¹
b e	b y ²
s a ¹	s a ¹
x a ¹	x a ¹
b a ²	b o ³
l e̠ ³	l e̠ ¹
kʰ o̠ ³	kʰ o̠ ³
kʰ i ¹	kʰ i ¹
s a ¹	s e ¹
pʰ u ¹	pʰ u ¹
l a ²	l a ²
a ¹	a ¹
ɣ i ¹	x i ¹
v ɛ̠ ³	v ɛ̠ ³
ts e ¹	ts e ¹
x i̠ ³	x ɨ̠ ³
tsʰ e ¹	tsʰ e ¹
g u ³	g o ŋ ³
ɲ a ŋ ¹	n u ²
p a ¹	p a ¹
s a ¹	s u ¹
ˀn o ¹	ˀn y ¹
a ¹	a ²
l o̠ ¹	l u̠ ¹
h a ŋ ²	h a ŋ ²
m a ²	m a ²
a ²	a ²
k u ¹	k u ¹
t a ŋ ¹	t a ŋ ¹
ˀn e ¹	n e ¹
k u ¹	x a ŋ ¹
s j y ¹	s y ¹
pʰ ɨ ²	pʰ ɨ ²
ts a ŋ ²	ts u ²
kʰ a ¹	kʰ a ¹
a ¹	a ¹
tʰ u ¹	tʰ e̠ ¹
ˀl a ³	l e̠ ³
t u ²	t u ²
n e̠ ¹	n i̠ ¹
h a ²	h a ¹
p j i ²	b a ²
k u ²	k j o ²
dʒ ɛ̠ ¹	dʒ e̠ ¹
b ɛ ²	b ɛ ²
a ¹	a ¹
m ɨ ²	m ɨ ²
b i ²	b i ²
kʰ u ¹	kʰ u ¹
s e ¹	s e ¹
b e̠ ¹	b e̠ ¹
k e ¹	k ɛ ³
s y ²	s y ²
t u ¹	tʃʰ ɛ ²
p ¹	e̠ ¹
ts o ¹	ts i ¹
v a ²	v a ²
tʃ a̠ ³	tʃ ɛ̠ ³
tʰ ɛ ³	tʰ ɛ ³
a ¹	a ¹
tʃʰ o ³	tsʰ y̠ ¹
ˀn u̠ ³	ˀn u̠ ³
ɣ u ¹	ɣ o ³
ɣ i ¹	ɣ i ¹
g u ¹	g j e̠ ¹
d y ²	d y ²
tʰ u ³	tʰ u ³
h ɛ̠ ¹	h ɛ̠ ¹
tsʰ e ¹	k i ¹
tʰ a ²	tʰ a ²
ˀl a ¹	l a ŋ ¹
h e̠ ³	h e̠ ³
v i̠ ³	v i̠ ³
ɣ u ¹	ˀŋ y ¹
p ɨ ²	p j ɨ ²
ˀm i ³	ˀm i ³
kʰ i ²	kʰ i ²
m e̠ ¹	m e̠ ³
p a̠ ³	p a̠ ³
m ɛ ²	m ɛ ²
p y ²	p y ²
t a ³	t a ³
a ¹	a ¹
ʒ e̠ ¹	ɣ e̠ ¹
e̠ ²	i ²
x ɨ ¹	x ɨ ¹
m a ¹	m a ŋ ²
s i̠ ¹	s i̠ ¹
ŋ a ¹	ŋ a ¹
kʰ ɨ ²	kʰ ɨ ²
tʰ ²	n̩ ²
k u ¹	kʰ y ¹
n i ²	n i ²
a ²	a ²
tsʰ a ¹	tsʰ a ¹
l e̠ ³	l e̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
tʃʰ i̠ ²	tʃʰ i ²
p a ¹	p e ¹
ɣ ɛ ¹	ɣ ɛ ¹
m ɛ̠ ²	m ɛ ²
k u ¹	k u ²
tʃʰ ɨ ²	tʃʰ ɨ ²
ts ɛ ³	tʃ ɛ̠ ³
kʰ u ²	kʰ u ²
a ²	a ²
n i ¹	n i ¹
s i̠ ¹	s i̠ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
v ɛ ¹	v ɛ ¹
x ɨ ³	x ɨ̠ ³
k ɛ ¹	k j ɛ ¹
ˀl y ³	ˀl y ³
a ²	a ²
ˀm ɛ ¹	ˀm ɛ ¹
kʰ i ¹	kʰ i ¹
ɣ a ŋ ²	ɣ o ³
n ɛ ¹	ɲ e ¹
ʒ ɨ̠ ¹	ɣ ɛ ¹
p ɛ̠ ¹	p ɛ̠ ¹
l i̠ ³	ˀl u̠ ¹
