t w ɛ ⁵	d w ɛ ⁵
ts r o ²	ts r ɔ ²
kʰ w æ ³	qʰ w æ ³
n o ŋ ⁵	n o ŋ ⁵
tɕʰ j æ n ¹	tsʰ j æ n ¹
s j i ²	s j i ²
ɣ ɯ ²	ɣ ɯ ²
n o ŋ ¹	n o ŋ ¹
sʰ o ⁴	ɕ o ⁴
dʑ i ³	d i ³
tʰ r æ n ¹	tʰ æ n ¹
n o ²	n o ²
pʰ r a ⁴	pʰ r a ⁴
b r ɯ ³	p u ³
m i ²	m i ²
ŋ ɯ ¹	ŋ ɯ ¹
k o ⁵	k o ⁵
l ɔ ¹	l ɔ ¹
kʰ o ⁴	kʰ o ⁴
qʰ w a ŋ ²	qʰ w a ŋ ²
ɕ i ⁴	ɕ i ⁴
d r ɯ̃ ¹	d r ɯ̃ ¹
tʰ e ⁴	tʰ j e ⁴
d r ɯ ³	d r ɯ ³
tɕʰ j e n ¹	tsʲʰ e n ¹
ŋ ɔ ³	ŋ ɔ ³
h w a ⁴	h w a ⁴
qʰ o ŋ ¹	qʰ o ŋ ¹
ɖʐ i ²	ɖʐ i ²
tʰ æ n ¹	tʰ æ n ¹
j a ⁴	j a ⁴
n ɛ ¹	n ɛ ¹
ŋ o ¹	ŋ o ¹
l ɔ ¹	l ɔ ¹
m e ¹	m e ¹
ʈ r o ŋ ¹	ʈ o ŋ ¹
n w e n ¹	ŋ w e n ¹
b æ ¹	b æ ¹
kʰ ø ¹	qʰ o ŋ ¹
b e ¹	b e ¹
ɖʐ u ⁴	ɖʐ u ŋ ⁴
m ɔ ⁴	m ɔ ⁴
x æ ŋ ¹	χ æ n ¹
d r æ n ¹	d r æ n ¹
qʰ a ⁴	qʰ a ⁴
pʰ e ¹	pʰ e ¹
ʁ o ¹	ʁ ɯ ⁴
