ts i ⁴	ts j i ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
ʈ r æ ⁴	ʈ æ ⁴
n u ŋ ¹	n o ŋ ³
tʰ u ³	tʰ r u ³
z e n ¹	z e n ¹
m ɯ ⁴	m ɯ ⁴
ts w æ n ²	ʈ w æ n ²
sʰ w a ⁴	sʰ w a ⁴
dz o ŋ ¹	dz o ŋ ¹
tɕʰ j æ n ¹	tɕʰ æ ¹
d ɯ ³	d ɯ ⁵
q æ ⁵	q æ ⁵
tsʰ w e n ¹	tsʰ w e n ¹
ɖʐ u ⁴	ɖʐ u ŋ ⁴
d ɯ ²	dʑ ɯ ²
ɖʐ i ⁴	ɖʐ i ⁴
tʰ r u ²	tʰ r u ²
p j ɛ ²	p j ɛ ²
ɕ w e ²	ɕ w i ²
kʰ o ⁴	kʰ o ⁴
sʰ o ⁴	sʰ o ⁴
pʰ r æ ¹	pʰ r æ ¹
b r i j ¹	p r i ¹
b r i ¹	b r i ²
t æ ⁴	t æ ŋ ⁴
q w a ⁴	q w a ⁴
q a ŋ ¹	q a ŋ ¹
p r a ⁴	p r a ⁴
ts u ²	ts u ²
pʰ e ¹	pʰ e ¹
æ ³	b j o ²
sʰ a ŋ ¹	sʰ a ŋ ¹
dʑ i ⁴	d i ⁴
tsʰ e ¹	tsʰ r e ŋ ¹
χ ɯ ⁴	χ ɯ ⁴
n j o ²	ŋ j o ²
ŋ o ²	ŋ u ²
s a ⁴	s a ⁴
n o ²	n o ²
tʰ r æ ⁴	tʰ j æ ⁴
m æ ⁵	m æ ⁵
d r ɯ ¹	d r ɯ ³
s o ⁴	s ɔ ⁴
ŋ w e n ²	ŋ w e n ²
q æ ⁴	q æ ⁴
