o ⁴	ɔ ⁴
b r i ¹	p r i ¹
p j a ⁴	b r æ ⁴
ɣ o ³	g o ŋ ³
d j æ n ¹	t æ ¹
q æ ¹	q æ ⁴
j e n ¹	j e n ¹
b j ɛ ²	b j ɛ ²
ŋ o ŋ ²	ŋ u ²
d e ⁵	d j ɛ ⁵
ɣ ɯ̃ ²	ɣ ɯ ²
ɖʐ j o ⁴	ɖʐ o ⁴
ɖʐ o ¹	ɖʐ u ŋ ¹
tsʰ ɯ ³	tsʰ ɯ ³
l ɔ ¹	l ɔ ¹
ŋ w e n ¹	ŋ w e n ¹
q æ n ²	q æ n ¹
ts r e ²	ts r e n ²
s r r æ ŋ ²	s r e ŋ ²
ŋ w a ⁴	ŋ w a ⁴
d r ɯ ³	d r ɯ ³
ɣ æ ⁴	ɣ æ ⁴
p j ɛ ¹	p j e ¹
qʰ æ ⁴	qʰ æ ⁴
ts r e ŋ ¹	ts r e ŋ ¹
k a ŋ ¹	k a ŋ ¹
q w a ⁴	ɣ w a ⁴
j o ²	n j o ²
qʰ ɛ n ¹	qʰ e n ¹
p r e n ¹	p r e n ¹
sʰ r o ¹	s r o ⁴
p r o ¹	p r ɔ ¹
j a ⁴	j a ⁴
j a ⁴	j a ⁴
tɕʰ ə ⁴	tʰ e ⁴
tʰ e ²	tʰ j e ²
tsʰ j e ¹	tsʰ j i ¹
m æ ²	m æ ²
m o ²	m ø ²
n j ɛ ⁴	b j ɛ ⁴
d j ɯ ⁴	t ɯ ⁴
tʰ u ¹	tʰ r u ¹
ts o ⁴	ts o ⁴
j e n ¹	j e n ¹
ŋ j u ŋ ¹	z r o ŋ ¹
ɖʐ w e n ⁵	ɖʐ w e n ⁵
