d r ɯ ¹	d r ɯ ³
sʰ w ɛ ⁴	sʰ w ɛ ⁴
j a ⁴	j a ⁴
k o ⁵	k o ⁵
d a n ¹	d r æ n ¹
ʁ ¹ ⁴	ʁ ɯ ⁴
b e ²	b e ²
p j ɛ ³	pʰ j ɛ ³
b u ¹	ʂ u ¹
j o ²	n j o ²
ɕ o ²	ɕ w i ²
tsʰ j i ⁴	tsʰ j i ⁴
d o ŋ ²	d j o ŋ ²
b ɔ ³	b ɔ ³
m ɔ ⁴	m ɔ ⁴
tʰ u ³	tʰ r u ³
pʰ æ ⁴	pʰ æ ⁴
d o ¹	d r o ŋ ¹
χ w a ⁴	h w a ⁴
b ɛ ²	p ɛ ²
q æ n ²	q æ n ¹
j a ⁴	j a ⁴
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
d ɔ ¹	d r ɔ ¹
ŋ w æ ⁵	ŋ w æ ⁵
s r r e ⁴	s r i ⁴
ɖʐ i ⁴	ɖʐ i ⁴
ʔ w e n ²	ʔ w e n ¹
tʰ r æ ⁴	tʰ r æ ⁴
ɕ w a ⁴	s w a ⁴
tɕʰ j æ n ¹	tɕʰ æ ¹
m ɯ ⁴	m ɯ ⁴
dʑ u ŋ ²	ɖʐ u ŋ ²
b u ²	t u ²
ts r o ⁴	ts r o ⁴
p r e n ¹	p r e n ¹
qʰ æ ⁴	qʰ æ ⁴
p r o ¹	p r ɔ ¹
ɣ ɯ ¹	ɣ ɯ ¹
ts j i ¹	dʑ e n ¹
n j o ŋ ²	n j o ŋ ²
b i ¹	b r i ¹
ɕ o ⁴	ʔ o ⁴
b ɯ ¹	b ɯ ¹
j e n ¹	j e n ¹
s e n ⁵	s e n ⁵
