ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
tʰ u ⁵⁵	tʰ u ⁵⁵
ʔ o ¹¹	ʔ o ¹¹
n i ⁵⁵	n̥ i ⁵⁵
k ə ʔ̚ ⁰	k ə ʔ̚ ⁰
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
k ə ⁵⁵	ɲ̊ au ⁵⁵
l̥ w ɛ ⁵⁵	l w ɛ ⁵⁵
ˀb w w a ⁵⁵	ˀb w w a ⁵⁵
tʰ a ⁵⁵	tʰ a ⁵⁵
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
k ə ⁰	ɲ̊ a ¹¹
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
m i ɴ ⁵⁵	ˀm i n ⁵⁵
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
r ɔ ⁵⁵	r ɔ ⁵⁵
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
m̥ a ¹¹	m̥ a ¹¹
kʰ r ɔ k̚ ⁵¹	kʰ r ɔ t ⁵¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
m ɛ ¹¹	m w ɛ ¹¹
k ei ⁵⁵	n̥ ei ⁵⁵
cʰ ou ¹¹	cʰ r ou ¹¹
ˀb u ⁵⁵	ˀb ə ⁵⁵
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
d e ⁵⁵	d e ɴ ⁵⁵
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
ʔ ɛ ɴ ¹¹	ʔ ɛ ɴ ¹¹
r w i ¹¹	r w i ¹¹
t a ⁰	t ə ʔ̚ ⁰
n e ⁵⁵	n̥ e ⁵⁵
