pʰ j ɛ ¹	pʰ ɛ ³
ɣ a ¹	s e ¹
h e ¹	h e ¹
b ɨ̠ ¹	p ɨ ¹
z i ³	z i ³
t a ³	t a̠ ³
n ²	n i ²
b o ²	b e ²
a ¹	a ¹
m o ¹	m u ¹
tʰ a ŋ ²	tʰ o ²
v ɛ̠ ³	v ɛ̠ ³
l a ²	l a ²
a ¹	a ¹
n i ²	n̩ ²
kʰ ɛ̠ ³	kʰ ɛ̠ ³
a ¹	a ²
k u ³	k a ²
x ɨ ¹	x ɨ ¹
ɣ a ²	ɣ a ²
k u ¹	k u ¹
s ɛ ²	s ɛ ²
p a ³	p a̠ ³
m a ³	m a ³
k ɛ ¹	k ɛ ¹
l ɛ̠ ³	l ɛ̠ ³
d ɛ ³	d e̠ ³
k i ²	tsʰ i ²
u y ³	tʰ y ¹
ˀn a ¹	ˀn a ¹
b y ²	b y ²
b i ²	b j o ²
u a ŋ ²	tʰ a ŋ ²
pʰ j a ¹	pʰ a ¹
l o̠ ¹	l u̠ ¹
ɣ i ¹	ʒ e ¹
m o ¹	m o ¹
j a ³	j a ŋ ²
m a ³	m a ³
dʒ i ²	dz i ²
tʃ a̠ ³	tʃ a̠ ³
g ɛ ²	s y ²
ʃ a̠ ³	ʃ a̠ ³
m e ³	m ɛ ³
k ɛ ³	k ɛ ³
a ŋ ¹	e̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
k e ²	k j e ²
m a ŋ ²	m a ŋ ²
b a ²	b a ²
l e̠ ³	l e̠ ³
t y ¹	t y ¹
n i ²	n i ²
b o ²	b o ¹
s ɛ ²	s ɛ ²
z e̠ ³	z e̠ ³
v e̠ ³	v e̠ ³
n i ¹	n i ¹
d a ¹	t a ŋ ³
d e̠ ¹	d e̠ ¹
k i ²	dʒ i ²
t e ²	t e ²
b j a ²	b j a ²
ˀn e ³	n e ²
n ɛ ¹	ɲ e ¹
a ¹	a ¹
a ¹	a ¹
v a ²	v a ²
k o̠ ³	k o̠ ¹
¹ e ¹	h e ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
l a̠ ²	l a ²
v i̠ ³	v i̠ ³
ɣ i ¹	ɣ i ¹
ts ɿ ²	ts i ²
a ¹	a ¹
pʰ ɨ ²	pʰ ɨ ²
ɣ e̠ ¹	ɣ e̠ ¹
kʰ ɨ ¹	kʰ ɨ ³
l y ¹	l y ¹
a ¹	a ¹
p a ŋ ¹	p a ŋ ¹
m a ²	m a ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
m a ³	m a ³
ʒ u ²	ʒ i̠ ³
k e ³	k e̠ ³
n e ¹	n e ¹
tsʰ u ¹	tsʰ u ¹
a ¹	a ¹
ˀl o̠ ³	ˀl o̠ ¹
i ²	ɨ̠ ³
tsʰ ɛ ¹	tsʰ ɛ ¹
k e ¹	k ɛ ³
ʃ a ¹	ʃ a ³
d i ¹	t i ¹
b e̠ ¹	b e̠ ¹
ˀm i ³	ˀm i ³
dz u ²	tʰ a ²
ʃ ɛ ¹	ʃ ɛ ¹
k u ¹	ts u ¹
g u ³	g u ³
a ¹	a ¹
ɣ i ¹	ɣ ɨ ¹
k a ŋ ²	k a ŋ ²
tʃ u ¹	tʃ ɛ ¹
n e̠ ²	ˀn e̠ ³
a ¹	a ¹
v e̠ ³	v e̠ ³
l e̠ ³	l e̠ ¹
m u ¹	m j a ²
l o̠ ¹	l u̠ ¹
pʰ ɨ ¹	pʰ ɨ ¹
ts a ³	dz ɛ̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
ɣ o̠ ¹	ʒ o̠ ¹
kʰ a ³	kʰ a ³
n o̠ ¹	n u̠ ¹
d u ³	d u ³
ʃ ɛ ²	ʃ ɨ̠ ³
dz i ¹	dz i̠ ¹
a ¹	a ¹
a ¹	a ¹
t e̠ ¹	t i̠ ¹
k ɛ ³	k u ²
