sʰ ɔ ¹	sʰ r ɔ ¹
tɕ j ɯ ¹	tɕ ɯ ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
tɕ j e n ¹	tɕ e n ¹
x æ ŋ ¹	χ æ n ¹
n o ²	n o ²
g u ¹	g u ¹
ts r ɯ ²	ʈ ɯ ²
m ɯ ¹	m ɯ ¹
k ɔ ⁴	k o ⁴
k æ ⁴	k æ ⁴
m æ ¹	m æ ¹
s r o ¹	s r o ¹
m ɯ ¹	m ɯ ²
ɖʐ o ⁴	ɖʐ u ŋ ⁴
j e n ¹	j e n ¹
q æ ⁴	q æ ⁴
q w ɛ ⁴	tsʰ w a ⁴
ʈ o ⁴	d r o ⁴
ts u ŋ ²	ts u ŋ ²
tʰ e ⁴	tʰ r e ⁴
ɣ w a ¹	k w a ⁴
q ɯ ¹	q ɯ ¹
m æ ¹	m æ ¹
b e ²	b e ²
b e ¹	b e ¹
p r æ ⁴	p r æ ⁴
ts r e ²	ts r i ²
q ɯ ¹	q ɯ ¹
ɕ o ŋ ¹	ɕ o ŋ ¹
k u ²	k u ²
tɕʰ ə ⁴	tʰ e ⁴
b æ ŋ ¹	b æ ŋ ¹
¹ n u n ¹	z r o ŋ ¹
m ə ¹	m e ¹
kʰ r o ²	kʰ r o ²
ʔ w e n ¹	ʔ w e n ¹
n j ə n ⁴	n j e ⁴
l ɔ ¹	l ɔ ¹
ts i ⁴	ts j i ⁴
m ɔ ¹	m ɔ ¹
j æ n ³	b j o ²
ts w i ²	ts u ²
o j e n ¹	tsʲʰ e n ¹
tʰ r æ n ¹	tʰ æ n ¹
d j e n ²	ɖʐ e n ²
