s ɨ̠ ¹	ʒ a ¹
v ɛ ¹	v ɛ ¹
ˀm ɛ ¹	ˀm ɛ ¹
p a ŋ ¹	p ɨ̠ ¹
ˀl a ŋ ²	l a ŋ ²
h e ¹	h e ¹
dz u ³	ts a ŋ ³
g u ¹	g o ŋ ¹
ɲ ɛ ¹	ɲ e ¹
dʒ a̠ ¹	dʒ e̠ ¹
d ɛ ²	d e ²
a ¹	a ¹
n e̠ ²	ˀn e̠ ³
ʃ i̠ ¹	ʃ i ¹
m a ³	m o ²
ts e ²	ts e ²
b ɛ̠ ¹	b e ³
s a ¹	s a ¹
m a ³	m a ³
t u ¹	t u ¹
d i ¹	d i ¹
a ¹	a ¹
b y ³	b y̠ ³
ɲ i ¹	ɲ a ²
a ¹	a ¹
tʃ ɛ ¹	tʃ ɛ ¹
l o̠ ³	l o̠ ³
m a ¹	m a ¹
ˀm i ¹	ˀm i ¹
k a̠ ²	k a̠ ³
k a ¹	k a ¹
d u ²	d u ²
kʰ e̠ ¹	kʰ e̠ ¹
pʰ u ²	pʰ e ²
p y ²	v y ²
n i ²	n i ²
m a ³	m a ³
ɲ o̠ ²	n a ²
dz e ²	dz i ²
tsʰ o ³	tsʰ y̠ ¹
k o ²	k j o ²
ɲ a̠ ³	n a ŋ ³
ɣ a ŋ ³	k j i ³
kʰ a̠ ¹	kʰ a̠ ¹
kʰ o̠ ¹	kʰ o̠ ¹
s i̠ ³	x i̠ ³
b ɨ ¹	b ɨ ¹
n̩ ²	n i ²
a ³	a ²
pʰ e̠ ¹	pʰ e̠ ¹
ts o̠ ³	ʒ i̠ ³
a ¹	a ¹
p ɨ ²	p ɨ ²
kʰ a ³	kʰ y̠ ¹
tʃʰ u̠ ¹	tʃʰ o̠ ¹
z i ³	z i ³
p u ²	p u ²
g o̠ ²	g y ²
ˀn y̠ ³	ˀn y̠ ³
b i ³	b i ³
n y ²	n y ²
tsʰ i ¹	tsʰ y ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
a ¹	a ¹
kʰ ɨ ¹	kʰ i ¹
k a ŋ ¹	x a ŋ ¹
ˀl u ³	l u ³
b a ²	b o ³
d ɛ ²	d ɛ ²
dz i ²	dʒ e ¹
s a ¹	s u ¹
m e̠ ¹	m e̠ ³
ɲ u ¹	n u ²
m j a ²	m j y ²
tsʰ u ¹	tsʰ e̠ ¹
m a ŋ ³	m a ŋ ³
ŋ a ¹	ŋ a ¹
x i ¹	g i ¹
b y ¹	b y ¹
ʃ i ²	ɣ u ²
kʰ y ¹	kʰ y ¹
m a ³	m a ³
k u ²	k o̠ ³
a ¹	a ¹
ts ɛ ¹	ts ɛ ¹
a ¹	a ¹
ʒ e̠ ¹	ɣ e̠ ¹
s e̠ ³	s e̠ ³
ɣ i ¹	ɣ ɨ ¹
m a ²	m a ²
a ¹	a ¹
kʰ i ²	kʰ i ²
dz e ¹	dz e ¹
tʃʰ j a ¹	tʃʰ u ¹
m a ³	m a ³³
l e̠ ³	l e̠ ³
m e̠ ³	ˀm e̠ ³
ʃ a ŋ ¹	ʃ u ³
ɣ i ¹	ɣ i ¹
n e̠ ¹	n i̠ ¹
k y ³	k j o̠ ³
ɣ ɛ ²	ɣ ɛ ²
l e̠ ³	l e̠ ³
x a̠ ³	x a̠ ³
ˀn a ²	ˀn a ²
s i̠ ¹	s i̠ ¹
m ɛ ²	m ɛ ²
m u ²	m j u ²
d u ²	d u ²
pʰ a ²	pʰ a ²
tsʰ e ¹	tʃʰ e ¹
tsʰ i̠ ²	kʰ j i ²
k ³ ²	k a ŋ ²
ˀm e̠ ¹	ˀm j e̠ ¹
ˀx y ¹	ɣ o ¹
ˀl a ²	ˀl a ²
p j a ŋ ²	b a ²
tsʰ a ¹	tsʰ ɛ̠ ¹
ɣ a ŋ ²	tʰ a ŋ ²
ˀl u ²	l i ²
b a ³	h a ¹
a ²	a ¹
ɣ u ¹	ˀŋ y ¹
l a ²	l a ²
dz a ¹	dz a ¹
