j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
s ə ⁰	s ə ⁰
l ɛ ¹¹	l ɛ ¹¹
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
l e ¹¹	l e ¹¹
c i ¹¹	ɟ i ¹¹
kʰ w au ⁵⁵	kʰ w au ⁵⁵
k l̥ ɛ ⁵⁵	k l ɛ ⁵⁵
j ɨ m ¹¹	j ɨ m ¹¹
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
r u ŋ ⁵⁵	r̥ u n ⁵⁵
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
s ei ¹¹	s ei ¹¹
n e ¹¹	n e ¹¹
r e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
m̥ a ¹¹	m̥ a ¹¹
l i g ¹¹	l̥ i ¹¹
kʰ l i t ⁵⁵	kʰ l i ʔ ⁵¹
r ə ⁵⁵	t r e ⁵⁵
k ə ⁰ ⁰	k ə ⁰
s o ⁵⁵	s o ⁵⁵
b r e ⁵⁵	b r e ⁵⁵
tʰ w ɨ n ⁵⁵	tʰ w ɨ ɴ ⁵⁵
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
b r a ¹¹	b r a ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
cʰ j a n ⁵⁵	cʰ j a ɴ ⁵⁵
k l a ⁵⁵	k l a ⁵⁵
n e ŋ ¹¹	n̥ e ŋ ¹¹
pʰ ə ¹¹	pʰ ə ¹¹
p l o ŋ ¹¹	p l o ŋ ¹¹
ˀd ei ¹¹	ˀd ei ¹¹
h a t ⁵¹	h a t̚ ⁵¹
p ə ¹¹	p ə ¹¹
pʰ a ⁵⁵	pʰ a ⁵⁵
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
