w o ²	w u ⁴
s w a ⁴	s w a ⁴
j o ²	n j o ²
tʰ e ²	tʰ j e ²
d r o ¹	d r o ŋ ¹
r j ɛ ⁴	b j ɛ ⁴
ŋ o ²	ŋ u ²
tɕ ɯ ¹	tɕ u ¹
ɕ e ²	ɕ w i ²
ɯ̃ ²	ɯ̃ ²
sʰ w a ⁴	sʰ w a ⁴
χ ɯ ²	χ ɯ̃ ²
n u ¹	n j o ŋ ¹
ɣ a ŋ ¹	ɣ æ ¹
ts r u ŋ ¹	ts u ŋ ¹
q a ŋ ¹	q a ŋ ¹
z e n ¹	z e n ¹
s j i ²	s j i ²
d ɔ ⁵	d ɔ ⁵
d i ²	dʑ i ²
kʰ o ⁴	kʰ o ⁴
p ɯ ²	p u ²
ŋ w a ⁴	ŋ w a ⁴
m e ²	m ə ²
ɣ æ ⁴	ɣ æ ⁴
ɖʐ o ¹	ɖʐ o ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
pʰ æ ⁴	pʰ æ ⁴
d ɯ ²	dʑ ɯ ²
m o ⁴	m ɔ ⁴
q a ŋ ¹	q a ŋ ¹
d r ɯ ³	d r ɯ ³
t w e n ²	t w e n ²
p r a ⁴	b r æ ⁴
n j o ¹	b j o ²
tsʰ o ŋ ¹	tsʰ o ŋ ¹
qʰ o ⁴	qʰ ɔ ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
k o ⁵	k o ⁵
tsʰ j i ⁴	tsʰ j i ⁴
w e n ¹	ʁ w e n ¹
m i ²	m i ²
χ w a ⁴	h w a ⁴
qʰ w i ²	kʰ w ɛ ²
ŋ w e n ¹	ŋ w e n ¹
k w ɛ ¹	k w ɛ ¹
