b u ²	b o ¹
b ɨ ¹	b ɨ̠ ¹
ɛ ²	ɛ ²
ˀn a ¹	ˀn a ¹
k a ¹	k u ¹
x ɨ ²	x ɨ ²
ʃ i ¹	ʃ i ¹
p a ¹	p a ¹
dʒ ɛ ¹	dʒ ɛ ¹
m ɛ̠ ²	m ɛ ²
k ɛ̠ ³	k u ²
k o ³	k j o̠ ³
tsʰ o̠ ³	tsʰ o̠ ¹
pʰ ɛ ¹	pʰ ɛ ¹
g y ¹	g y ¹
dʒ ɛ ¹	dʒ ɛ ¹
dz i ³	dz i ³
a ²	a ²
ˀn o ²	ˀɲ y ²
z y ²	z y ²
k e ¹	k ɛ ³
g a̠ ¹	g a ¹
l o̠ ¹	l u̠ ¹
d y ²	d y ²
l i̠ ³	l e̠ ³
h e̠ ³	h e̠ ³
b o ²	b e ²
ɣ a̠ ²	ɣ a ŋ ²
a ¹	a ¹
ˀn i ¹	ˀn i ¹
v i̠ ³	v i̠ ³
pʰ u ¹	pʰ u ³
tʰ a ²	tʰ a ²
m e̠ ³	ˀm e̠ ³
ˀn i̠ ¹	ˀn i̠ ¹
l a ¹	l a ¹
ˀn e ³	ˀn i ³
g j u ²	g j ɛ ²
b a ²	b a ²
h ɛ̠ ¹	h ɛ̠ ¹
b o ²	b o ²
tsʰ u ¹	tsʰ u ¹
ɣ e̠ ¹	ɣ e̠ ¹
a ¹	a ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
m o ²	m o ²
a ²	a ²
n i ²	n̩ ²
ˀn i̠ ¹	ɲ a ²
dz y ²	dz y ²
k u ²	k u ²
pʰ e̠ ¹	pʰ e̠ ¹
s u ¹	ʒ a ¹
l a ¹	l a ¹
k ɛ ¹	k j ɛ ¹
ˀn i ³	ˀn i ³
d ɛ ²	d e ²
s a ¹	s a ¹
k y̠ ¹	kʰ y ¹
m a ³	m a ³
ˀx ɨ ³	x ɨ̠ ³
b a ²	b j a ²
v e̠ ¹	v e ¹
d a ŋ ²	d u ²
ˀn i ²	n i ²
s i̠ ¹	s i̠ ¹
ɣ i ¹	ɣ ɨ ¹
kʰ o̠ ³	kʰ o̠ ³
pʰ j a ŋ ¹	pʰ j a ¹
ˀl y ²	ˀl y ²
kʰ u ¹	kʰ u ¹
p o̠ ¹	p o̠ ¹
m o ²	m o ²
k o ²	k j o ²
d u ¹	d u ¹
ʃ ɨ ²	ʃ ɨ ²
ˀv ɛ̠ ¹	ˀv ɛ̠ ¹
pʰ ɨ ²	pʰ ɨ ²
m u ¹	m j a ²
d u ¹	d u ¹
g a ²	g a ²
t i ²	t i ²
s ɛ ²	s ɛ ²
n ²	n i ²
t u ²	t u ²
t ɛ ³	t e̠ ³
g ɛ ²	g ɛ ²
x a ²	x a ²
m a ³	m a ³
n i ²	n̩ ²
b ɛ̠ ¹	b ɛ̠ ¹
v a ²	v a ²
l ɛ ¹	l ɛ ¹
ˀl a ŋ ³	ˀl u ²
b ɨ ¹	b ɨ ¹
l y ¹	l y ¹
p i ²	p y̠ ¹
ts ɛ ¹	ts ɛ ¹
ˀl a ³	ˀl a ŋ ³
m o ¹	m o ²
n i ¹	n i ¹
l a ŋ ²	l a ŋ ²
kʰ a ³	kʰ a ³
p a ŋ ¹	p a ŋ ¹
k o ³	k o ³
a ¹	a ¹
pʰ a ŋ ¹	pʰ j a ¹
m i ¹	m i ¹
n y ²	n y ²
pʰ e ²	pʰ e ²
t u ¹	t u ¹
ɣ u ¹	ɣ o ³
a ¹	a ¹
b y ³	b u̠ ¹
v i̠ ¹	ˀv i̠ ³
tsʰ ɛ ¹	tʃʰ i̠ ³
tʃʰ e̠ ¹	tʃʰ e̠ ¹
kʰ a ¹	kʰ a ¹
b y ¹	b y ¹
n j a ¹	ŋ j a̠ ¹
z i ³	z i̠ ³
m̩ ²	m̩ ²
k i ¹	k ɨ ¹
v a ²	v a ²
n i̠ ¹	n i̠ ¹
