pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
b l a ¹¹	b l a ¹¹
n̥ ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
j a m ¹¹	j a m ¹¹
m ei ¹¹	m̥ ei ¹¹
d e ɴ ⁵⁵	d e ɴ ⁵⁵
n w ɛ ¹¹	n̥ w ɛ ¹¹
n i ⁵⁵	n̥ i ⁵⁵
n e ¹¹	n e ¹¹
pʰ r u ⁵⁵	pʰ r u ɴ ⁵⁵
h ou ¹¹	h ou ¹¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
kʰ ɴ a ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
kʰ u k̚ ⁵¹	kʰ u k̚ ⁵¹
ɟ a ¹¹	ɟ a ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
ˀd a ⁵⁵	ˀd a ⁵⁵
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
k i ⁵⁵	k i ⁵⁵
l o ⁵⁵	l̥ o ⁵⁵
ˀb w w a ⁵⁵	ˀb w w a ⁵⁵
d a ⁰	t ə ⁰
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
ˀb ɔ ⁵⁵	ˀb ɔ ⁵⁵
m a ¹¹	m a ¹¹
n w ɨ m ⁵⁵	n ɨ m ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
p i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
l u ⁵⁵	l u ⁵⁵
ˀd ə ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
ˀb ə ¹¹	ˀb ə ¹¹
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
