n e ⁵⁵	n̥ e ⁵⁵
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
m ə ŋ ¹¹	m ə ŋ ¹¹
ɟ a ¹¹	ɟ a ¹¹
j ou ¹¹	j ou ¹¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
m̥ ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
tʰ ə ə ¹¹	tʰ u ¹¹
ˀd ɨ ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
k ə ⁵⁵	k ɨ ⁵⁵
k ə ⁵⁵	ɲ̊ au ⁵⁵
p ə ⁰	p ə ⁰
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
k i ¹¹	k i ¹¹
l̥ ə ʔ ¹¹	l̥ i ¹¹
p ə ə ⁰	l a ʔ̚ ³³
kʰ ə ⁵⁵	kʰ ei ⁵⁵
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
d o ŋ ¹¹	d o ŋ ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
s a ¹¹	s a ¹¹
tʰ ə ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
cʰ ei ⁵⁵	cʰ ei ⁵⁵
n w i t ⁵⁵	ˀn w e t̚ ⁵¹
m a ⁵⁵	m a ⁵⁵
m̥ ɛ ʔ̚ ⁵¹	m̥ ɛ ʔ̚ ⁵¹
tʰ o ¹¹	tʰ o ¹¹
k ə ⁰	k ə ⁰
k ə ⁵⁵	ɲ̊ a ¹¹
m ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
cʰ a ⁵⁵	c a ⁵⁵
m̥ ei ⁵⁵	m̥ ei ⁵⁵
m u ¹¹	m u ¹¹
