cʰ ou ¹¹	cʰ r ou ¹¹
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
h ə ¹¹	h ou ¹¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
tʰ w i ¹¹	tʰ w i ¹¹
m ɨ ¹¹	m ɨ ¹¹
m u ¹¹	m u ¹¹
s ɨ ɴ ¹¹	s w ɨ n ¹¹
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
s ə m ⁵⁵	s ə m ⁵⁵
l̥ ɛ m ¹¹	l̥ ɛ m ¹¹
pʰ l ɨ ɴ ⁵⁵	pʰ r ɨ ɴ ⁵⁵
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
c i ¹¹	ɟ i ¹¹
k i ¹¹	k i ¹¹
cʰ j a n ¹¹	cʰ j a ɴ ¹¹
tʰ a ¹¹	tʰ a ¹¹
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ̚ ⁵¹
s w i ¹¹	s w i ¹¹
p l a ¹¹	p l a ¹¹
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
d e ⁵⁵	d e ɴ ⁵⁵
c u ⁵⁵	c u ⁵⁵
m a ⁵⁵	m a ⁵⁵
r̥ e ¹¹	r e ¹¹
c i m ¹¹	ɟ i m ¹¹
kʰ i ⁵⁵	kʰ ə ⁰
d ou ¹¹	d ou ¹¹
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
k ə ⁰	k ə ⁰
l̥ w ɛ ⁵⁵	l w ɛ ⁵⁵
l o ŋ ¹¹	l o ŋ ¹¹
l ei ¹¹	l̥ ai ¹¹
