ɕ w a ⁴	s w a ⁴
d e n ²	ɖʐ e n ²
qʰ æ ⁴	qʰ æ ⁴
d r ɔ ¹	d r ɔ ¹
χ e ⁴	χ ɯ ⁴
ɣ o ³	g o ŋ ³
ɖʐ o ⁴	ɖʐ o ⁴
d w æ ⁴	x w a ¹
sʰ o ŋ ¹	s o ŋ ¹
ɕ i ⁴	ɕ i ⁴
pʰ r æ ¹	pʰ r æ ¹
m o ²	m ø ²
ŋ o ¹	ŋ o ¹
b j o ⁴	b j o ⁴
q o ŋ ¹	q o ŋ ¹
tʰ u ²	tʰ j u ²
sʰ o ⁴	sʰ o ⁴
kʰ o ŋ ¹	kʰ u ŋ ¹
g r o ²	k r o ŋ ¹
t æ n ¹	t æ ¹
ɣ ɯ ¹	ɣ ɯ ²
n j o ŋ ¹	n j o ¹
z ɔ ¹	z ɔ ¹
d r r ɯ̃ ¹	d r ɯ̃ ¹
n o ²	n o ²
k o ŋ ²	k o ŋ ²
s w a n ¹	s w a ŋ ²¹
d ɯ ²	dʑ ɯ ²
j o ⁴	j ɔ ⁵
ɣ æ ⁴	ɣ æ ⁴
d i ²	dʑ i ²
g ɯ ¹	k ɯ ¹
ŋ j e n ¹	n j e n ¹
ts e ⁵	d j ɛ ⁵
x e n ¹	x e n ¹
ɖʐ i ⁴	ɖʐ i ⁴
m ɛ ¹	m ɛ ¹
qʰ o ŋ ¹	qʰ o ŋ ¹
j e n ¹	j e n ¹
p j ɔ ⁴	p j o ⁴
tʰ r u ŋ ²	tʰ u ²
g u ¹	g u ¹
m r æ ŋ ¹	m j æ ¹
d r ɯ ³	d r ɯ ³
s r o ¹	s r o ¹
sʰ r o ⁴	s r o ⁴
qʰ u ²	qʰ u ²
