tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
d a ⁰	t ə ⁰
k i ⁵⁵	k i ⁵⁵
n e ŋ ¹¹	n̥ e ŋ ¹¹
ɲ̊ ə ⁵⁵	ɲ̊ au ⁵⁵
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
ˀb ə ¹¹	ˀb ə ¹¹
kʰ l ei ¹¹	kʰ l ei ¹¹
p ə ³³	p ə ⁰
tʰ w a ɴ ¹¹	tʰ w a ɴ ¹¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
tʰ e ¹¹	tʰ e ¹¹
w i ⁵⁵	w i ⁵⁵
ʔ ɛ ɴ ¹¹	ʔ ɛ ɴ ¹¹
tʰ o ¹¹	tʰ o ¹¹
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
kʰ ei ¹¹	kʰ ei ¹¹
s w w a ¹¹	s w w a ¹¹
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
l w i ¹¹	l w i ¹¹
ʔ u ⁵⁵	ʔ u ⁵⁵
m a ¹¹	m a ¹¹
l u ⁵⁵	l u ⁵⁵
j ou ¹¹	j ou ¹¹
n a ¹¹	n a ¹¹
m i ɴ ⁵⁵	ˀm i n ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
m a ⁵⁵	m̥ a ⁵⁵
r w i ʔ ⁵¹	r̥ w i ʔ̚ ⁵¹
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
g w a t̚ ⁵¹	k w a t̚ ⁵¹
l ou ¹¹	l̥ ou ¹¹
k l o ŋ ¹¹	k l ə ŋ ¹¹
