l a ⁵⁵	ˀl a ⁵⁵
ʔ̚ w i ¹¹	ʔ w i ¹¹
ˀd ei ¹¹	ˀd ei ¹¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
l w i ⁵⁵	l̥ w i t̚ ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
w i ⁵⁵	w i ⁵⁵
m̥ ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
m l ɛ ¹¹	m w ɛ ¹¹
w a ⁵⁵	g w a ⁵⁵
cʰ a ⁵⁵	cʰ a ⁵⁵
b i ¹¹	b i ¹¹
n a ¹¹	n a ¹¹
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
s ə ⁰	s ə ⁰
tʰ u n ¹¹	tʰ u ɴ ¹¹
s o ʔ̚ ¹¹	s o ¹¹
kʰ u k̚ ⁵¹	kʰ u k̚ ⁵¹
k a ¹¹	k ə ʔ̚ ⁰
b l e ⁵⁵	b l e ⁵⁵
r w i ¹¹	r w i ¹¹
r ə ⁵⁵	t r e ⁵⁵
l ei ¹¹	l̥ i ¹¹
d ə ⁰	t ə ʔ̚ ⁰
pʰ a ⁵⁵	pʰ a ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
tʰ o ¹¹	tʰ o ¹¹
g a ŋ ⁵⁵	g a ŋ ⁵⁵
kʰ r ɔ ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
cʰ r w u t ⁵¹	kʰ r w i t ⁵¹
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
ɲ̊ ə ⁵⁵	ɲ̊ a ¹¹
tʰ au ⁵⁵	tʰ au ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
ˀd e ⁵⁵	ˀd e ⁵⁵
kʰ r a ¹¹	g r a ¹¹
