ɕ i ²	ɕ w i ²
p o ²	b j o ²
p r e ²	p ɛ ²
qʰ a ⁴	qʰ a ⁴
s j i ²	s j i ²
k o ⁴	qʰ ɔ ⁴
tɕʰ æ n ¹	tsʰ j æ n ¹
m o ²	m ø ²
d a ¹	d ɔ ¹
d r e ⁴	d r ɛ ⁴
m ɯ ¹	m ɯ ¹
ɣ ɛ ⁴	tsʰ w a ⁴
k u ²	k u ²
ʈ u ⁴	ʈ o ⁴
n o ŋ ⁵	n o ŋ ⁵
k o ŋ ²	k o ŋ ²
b æ ¹	b æ ¹
pʰ r a ¹	pʰ r æ ¹
ɖʐ u ŋ ŋ ²	ɖʐ u ŋ ²
kʰ r o ²	kʰ r o ³
ɖʐ i ⁴	d i ⁴
t u ²	t u ²
ʁ o ŋ ¹	ʁ o ŋ ¹
tʰ a ⁴	tʰ a ⁴
n ɔ ³	n ɔ ³
m æ ²	m æ ²
ɕ e ⁴	tʰ e ⁴
qʰ æ ⁴	qʰ æ ⁴
s w a ŋ ¹	s w a ŋ ²¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
sʰ ɔ ³	sʰ ɔ ³
m æ ⁵	m æ ⁵
dʑ a ⁴	dʑ a ⁴
sʰ j ɯ ²	sʰ r ɯ ²
b j o ⁴	b j o ⁴
m ɯ ¹	m ɯ ²
ts r e ŋ ¹	ts r e ŋ ¹
k o ŋ ¹	k o ŋ ¹
p u ²	p ɯ ²
b a ⁴	b a ⁴
s r r æ ŋ ²	s r e ŋ ²
ɕ o ⁴	ɕ o ⁴
sʰ r o ŋ ¹	s o ŋ ¹
n u ¹	n j o ŋ ¹
t w e n ¹	t w e n ¹
d r ɔ ¹	d r ɔ ¹
ɖʐ o ⁴	ɖʐ u ŋ ⁴
