tʃʰ i ²	tʰ i ²
dʒ e ²	dʒ e ³
b o̠ ³	pʰ u ²
m ɛ ²	m ɛ ²
d e̠ ³	d ɛ̠ ³
e̠ ³	e̠ ¹
z a ²	z a ²
a ¹	a ¹
b u ³	b y̠ ³
g u ¹	g a ŋ ³
kʰ ɛ̠ ¹	kʰ a̠ ¹
d i ²	d i ²
a ¹	a ¹
k a ³	k a̠ ³
t y ¹	t y ¹
pʰ u ¹	pʰ u ³
t a ³	t a ³
pʰ ɨ ²	pʰ ɨ ²
m ɛ ¹	ˀm ɛ ¹
x i ¹	x ɨ ¹
n̩ ²	n i ²
s ɛ ²	s ɛ ²
tʰ i ³	t i̠ ³
m u ²	m j a ²
kʰ i ¹	kʰ i ¹
s i̠ ³	s i̠ ³
m j a ¹	m j a ³
¹ a ¹	s a ¹
b j ɛ̠ ³	b j a̠ ³
p a̠ ³	p a̠ ³
ʃ i̠ ³	ʃ i̠ ¹
v e̠ ³	v e̠ ³
m ɛ ²	m ɛ ²
s a ²	s a ²
ts i ³	x i ³
dʒ i ¹	dz i̠ ¹
dz i ²	dz ɿ ³
l a ²	l a ²
b j a ²	b j a ²
s e ¹	s a ¹
a ŋ ¹	a ¹
pʰ j a ¹	pʰ a ¹
ˀm e̠ ¹	ˀm j e̠ ¹
kʰ a ³	kʰ a ³
ˀl a ¹	ˀl a ¹
a ¹	a ¹
n e ¹	n e ¹
l a ŋ ¹	l a ŋ ¹
ˀl i ²	ˀl i ²
x a ²	x a̠ ³
v e̠ ³	v e̠ ³
b a ²	b a ²
a ²	a ¹
ɣ ɛ ²	ɣ ɛ ²
g a ³	g a ³
l i ¹	ˀl i ¹
a ²	a ²
kʰ ɛ̠ ¹	kʰ a̠ ¹
tʃ a̠ ³	tʃ a̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
i ɛ ²	s ɛ ²
n e ³	n e ³
b i ²	b j o ²
ɲ e ¹	n e ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
n ²	n i ²
h a ¹	h a ¹
v a ²	v a ²
ˀv e̠ ¹	ˀv e̠ ¹
m j a ŋ ¹	m j a ŋ ¹
b e̠ ³	b e̠ ³
ŋ u a ŋ ¹	ˀŋ j a̠ ¹
l o ²	l y ²
tʃʰ ɨ ¹	tʃʰ ɨ ¹
ʒ i ¹	x i ¹
k y ³	k j o̠ ³
l a ¹	l a ¹
ˀn u̠ ³	ˀn u̠ ³
m ɛ ²	m e ²
n j e ¹	ɲ e ¹
tʃʰ ɨ̠ ²	tʃʰ ɨ ²
ʃ a ¹	ʃ a ¹
ˀm e̠ ¹	ˀm j e̠ ¹
dz i̠ ¹	dz i̠ ¹
u u ¹	ˀŋ y ¹
b o ²	b o ²
ts i ³	ts i ³
m̩ ²	m̩ ²
tsʰ i ²	tsʰ i ²
u u ²	ɣ u ²
dʒ a ¹	dʒ a ¹
ˀm j i ¹	ˀm i ¹
x a ²	x a ²
m z u ¹	m i ¹
s y ²	s y ²
l a ²	l a ²
u u ²	tʃ u ²
h ɛ̠ ¹	h ɛ̠ ¹
a ¹	a ²
d a ¹	d a ŋ ¹
h e̠ ²	h e̠ ³
p e ¹	p e ³
d a ³	d a ²
tʃ ɨ ¹	tʃ u ¹
dz u ³	dʒ u ³
u ²	ɣ u ²
h e̠ ³	h e̠ ³
z y ²	z y ²
x i ¹	x e ¹
k a ²	k a ŋ ²
ˀl a ŋ ³	ˀl a ŋ ³
m u ²	m u ²
a ¹	a ¹
tsʰ o ³	tsʰ y̠ ¹
x i ³	x ɨ̠ ³
m a ³	m a ³
ʃ ɨ ²	ʃ ɨ ²
d u ³	d u ¹
dz i ³	dz i ³
m a ³	m a ³
ˀx e ¹	h e ¹
ʒ i ²	ʒ i̠ ³
ʒ i ³	ʃ i ³
a ¹	a ¹
