p o ²	p j o ²
x e n ¹	x e n ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
ɕ j æ n ¹	s j æ n ¹
qʰ a ⁴	qʰ a ⁴
m o ²	m ø ²
z i ³	z ɯ ³
n ɛ ⁴	n e ⁴
s e n ⁵	s e n ⁵
kʰ r o ²	kʰ r o ²
ts u ŋ ¹	ts u ŋ ¹
b æ ¹	b æ ¹
m ɯ ¹	m ɯ ¹
qʰ ɔ ²	qʰ ɔ ²
tsʰ w æ ŋ ²	tsʰ w a ŋ ²
m o ²	m ø ²
b ɔ ¹	b ã ¹
b e ¹	b e ¹
b ɯ ¹	b ɯ ¹
k o ⁵	k o ⁵
j a ⁴	j a ⁴
z ɔ ¹	z ɔ ¹
s r o ¹	s r o ¹
d r ɯ ¹	d j ɯ ¹
m r æ ŋ ¹	m j æ ¹
g w a ⁴	ɣ w a ⁴
m a ⁴	m a ⁴
q w ɛ ⁵	q w ɛ ³
g ɔ ¹	g ɔ ¹
ts i ⁴	ts j i ⁴
tʰ e ⁴	tʰ r e ⁴
ɕ o ⁴	ʔ o ⁴
s r e ⁴	s r i ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
ɖʐ u ŋ ⁴	ɖʐ o ³
j a ⁴	j a ⁴
ɖʐ o ¹	ɖʐ u ŋ ¹
b ɯ ¹	b r i ¹
n ɔ ³	n ɔ ³
ɖʐ i ¹	ɖʐ i ¹
ɣ ɔ ¹	ɣ ɔ ¹
n j e n ⁴	n j e ⁴
ʈ r o ⁴	d r o ⁴
ɕ o ŋ ¹	ɕ o ŋ ¹
s j j e n ¹	sʰ j e n ¹
ɕ o ⁴	ɕ a
t æ n ¹	t æ ¹
