t ə ⁰	t ə ʔ̚ ⁰
c i ¹¹	ɟ i ¹¹
k l a ⁵⁵	k l a ⁵⁵
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
s w w a ¹¹	s w w a ¹¹
l ou ¹¹	l̥ ou ¹¹
l a ¹¹	l̥ a ¹¹
ˀd ou ¹¹	ˀd ə ŋ ¹¹
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
cʰ j a n ⁵⁵	cʰ j a ɴ ⁵⁵
kʰ l ɛ ɴ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
ʔ e ¹¹	ʔ e ¹¹
p l a ¹¹	p l a ¹¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
ʔ a m ¹¹	ʔ a m ¹¹
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
kʰ u ¹¹	kʰ u ¹¹
d ɨ m ⁵⁵	d ɨ m ⁵⁵
k ə ⁰	k ə ⁰
s ɨ ¹¹	s w ɨ ɴ ¹¹
s r ei ¹¹	s r ei ¹¹
k ə ⁵⁵	k ɨ ⁵⁵
l a ⁵⁵	ˀl a ⁵⁵
l a ŋ ¹¹	l̥ a ŋ ¹¹
l i ɴ ¹¹	l i n ¹¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
k o ¹¹	k ə ⁰
ˀd e ⁵⁵	ˀd e ⁵⁵
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
d ə ŋ ¹¹	d ə ŋ ¹¹
kʰ i ⁵⁵	kʰ ə ⁰
k ə ¹¹	n ei ¹¹
n̥ w i t ⁵⁵	ˀn w e t̚ ⁵¹
l i ¹¹	l̥ ai ¹¹
r ou ¹¹	r ou ¹¹
