q ɯ ²	ɣ ɯ̃ ²
q ɯ ¹	q ɯ ¹
b u ¹	ʂ u ¹
sʰ w a ŋ ³	sʰ w a ŋ ³
p j o ¹	pʰ j u ŋ ¹
j o ²	ŋ j o ²
ɖʐ i ⁴	ɖʐ i ⁴
b e ²	p ɛ ²
ɖʐ i ²	ɖʐ i ²
b ɯ ²	p u ²
j o ⁵	j ɔ ⁵
b w i ²	kʰ w ɛ ²
b æ ŋ ¹	b æ ŋ ¹
q æ ⁴	q æ ⁴
m æ ŋ ²	m æ ²
m e ¹	m e ¹
tʰ r o ŋ ²	tʰ u ²
ɣ w a ¹	ɕ w i ²
dʑ j æ n ³	dʑ æ n ³
sʰ r ɯ ²	sʰ r ɯ ²
g ɯ ŋ ³	g ɯ̃ ³
m ɯ ⁴	m ɯ ⁴
s j e n ¹	sʰ j e n ¹
tɕ ɯ ¹	tɕ u ¹
ʈ u ⁴	ʈ o ⁴
h a ŋ ³	h a ŋ ⁵
n o ŋ ⁵	n o ŋ ⁵
m ɯ ²	m ɯ ²
ŋ w æ ŋ ⁵	ŋ w æ ⁵
tɕʰ i ¹	tɕʰ i ¹
n j e n ¹	n j e n ¹
tsʰ ɯ ³	tsʰ ɯ ³
d ø ŋ ²	d j o ŋ ²
s i ²	s r i ²
q a ŋ ¹	q a ŋ ¹
pʰ ɯ ¹	pʰ ɯ ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
kʰ o ¹	qʰ o ŋ ¹
ɕ i ⁴	ɕ i ⁴
b ɯ ¹	b r i ¹
sʰ r æ ⁴	sʰ r æ ⁴
d a ⁴	d a ⁴
t æ n ¹	t æ ¹
ts r i ¹	ts r i ¹
q æ ⁴	q æ ⁴
tɕʰ ə ⁴	tʰ e ⁴
