r̥ o ŋ ¹¹	r o ŋ ¹¹
k l a ⁵⁵	k l a ⁵⁵
ʔ a m ¹¹	ʔ a m ¹¹
l̥ w ɛ ⁵⁵	l w ɛ ⁵⁵
t a ⁰	t ə ʔ̚ ⁰
s ə ⁰	s ə ⁰
k ə ⁰	k ə ⁰
tʰ ə ʔ̚ ¹¹	tʰ u ¹¹
s w a ¹¹	s w w a ¹¹
m̥ a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
g o ¹¹	g o ¹¹
cʰ a ¹¹	cʰ a ¹¹
ʔ u ⁵⁵	ʔ u ⁵⁵
ˀb w a ⁵⁵	ˀb w w a ⁵⁵
m l ɛ ¹¹	m w ɛ ¹¹
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
tʰ u ¹¹	tʰ u ¹¹
ə ə ⁵⁵	s ə ⁰
n̥ w ɨ m ⁵⁵	n ɨ m ⁵⁵
c i ¹¹	ɟ i ¹¹
cʰ ou ¹¹	cʰ r ou ¹¹
cʰ j a n ¹¹	cʰ j a ɴ ¹¹
d e ɴ ⁵⁵	d e ɴ ⁵⁵
ˀd o ¹¹	ˀd o ¹¹
m̥ a ¹¹	m̥ a ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
k ə ʔ̚ ⁰	k ə ʔ̚ ⁰
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
b l a ¹¹	b l a ¹¹
l a ¹¹	l̥ a ¹¹
m i ⁵⁵	m i ⁵⁵
tʰ r o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
kʰ l i ʔ ⁵⁵	kʰ l i ʔ ⁵¹
d o ¹¹	d o ¹¹
