m r æ ¹	m j æ ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
d r ɯ ¹	ʈ ɯ ⁴
pʰ e ¹	pʰ e ¹
m æ ⁴	m æ ⁴
n j ɛ ⁴	b j ɛ ⁴
tʰ r u ²	tʰ r u ²
tʰ r u ²	tʰ u ²
qʰ w æ ¹	qʰ w æ ¹
q a ŋ ¹	q a ŋ ¹
d r ɯ ²	d r ɯ ²
b ɯ ¹	b ɯ ¹
n j o ŋ ⁴	ŋ j o ŋ ⁴
q a ŋ ¹	q a ŋ ¹
b o ²	b o ŋ ²
ts o ⁴	ts o ⁴
tɕ j æ ⁴	tɕ æ ¹
n o ŋ ¹	n o ŋ ³
sʰ w a ŋ ³	sʰ w a ŋ ³
b æ ¹	b æ ¹
d r ɔ ¹	d r ɔ ¹
d r ɯ ³	d r ɯ ³
m ɛ ¹	m ɛ ¹
pʰ æ n ³	pʰ æ n ³
o ⁴	ɔ ⁴
l ɔ ¹	l ɔ ¹
m r i ¹	m j i ¹
ʈ r o ¹	d r o ŋ ¹
ʔ w e n ¹	ʔ w e n ¹
m i ¹	m i ¹
ʈ w e ⁴	ts w ɛ ⁴
s r u ³	s r o ⁵
g u ¹	g u ¹
p j ɛ ³	pʰ j ɛ ³
ɣ w a ⁴	ɣ w a ⁴
n j e n ¹	n j e n ¹
qʰ o ⁴	qʰ ɔ ⁴
d ɯ ²	dʑ ɯ ²
m ɯ ³	m ɯ ⁵
d r ɯ ¹	d j ɯ ¹
ŋ ɯ ¹	ŋ ɯ ¹
s e ¹	s r ɯ ²
n u ¹	n j o ŋ ¹
s r o ²	s r o ²
ɕ o ⁴	ʔ o ⁴
kʰ o ³	kʰ r o ³
