p j æ ⁴	p r æ ⁴
m i ²	m i ²
ŋ w a ŋ ⁴	ŋ w a ⁴
q u ²	ɣ u ŋ ²
b e ¹	b e ¹
s i ¹	s r e ŋ ¹
g u ¹	g u ¹
ts i ²	ts r e n ²
s o ŋ ³	s u ŋ ³
ɣ ɯ ¹	q ɯ ¹
b ɯ ¹	b r i ¹
ts u ⁴	dz o ⁴
o ⁴	ɔ ⁴
sʰ r æ ²	s r e ŋ ²
tsʰ ø ¹	tsʰ u ŋ ¹
m æ ²	m æ ²
tɕ j e n ¹	tɕ e n ¹
d ɔ ⁵	d ɔ ⁵
l o ŋ ¹	l o ŋ ¹
b j a ⁴	b r æ ⁴
ʈ o ⁴	d r o ⁴
ʈ o ŋ ²	ʈ s u ŋ ²
qʰ ɯ ¹	qʰ ɯ̃ ¹
g ɔ ¹	g ɔ ¹
kʰ o ³	kʰ r o ³
ts j j a ³	tɕ a ³
l ɔ ¹	l ɔ ¹
s i ¹	s r e ŋ ¹
tɕ i ⁴	d i ⁴
qʰ w æ ¹	qʰ w æ ¹
b u ²	b ɯ ²
b j i ²	b j ɛ ²
x ɯ ²	x ɯ ³³
d o ¹	ɖʐ u ŋ ¹
ŋ o ¹	ŋ o ¹
tɕʰ j e n ¹	tsʲʰ e n ¹
h æ ŋ ³	h a ŋ ⁵
ts j j æ n ¹	tɕ æ ŋ ¹
ts o ⁵	ts o ⁵
ŋ w e n ¹	ŋ w e n ¹
ts i ²	ts i ²
ɣ ɯ ²	ɣ ɯ ²
p j ɔ ¹	p r ɔ ¹
ɕ a ³	ɕ a
n o ¹	n o ŋ ³
ɣ ɯ ²	ɣ ɯ ²
