p j o ⁴	p j u ⁴
b i ŋ ¹	b r i ²
k o ŋ ²	k o ŋ ²
sʰ o ⁴	sʰ o ⁴
tsʰ o ŋ ŋ ¹	tsʰ u ŋ ¹
ts o ⁴	ts o ⁴
d j æ n ¹	d r æ n ¹
s r u ¹	ʂ u ¹
j ɯ ⁴	j ɯ ⁴
ɣ ɔ ⁴	ɣ u ⁴
ŋ w a ⁴	ŋ w a ⁴
tʰ r o ⁴	tʰ r o ⁴
ɣ o ³	g o ŋ ³
qʰ w i ²	kʰ w ɛ ²
dʑ i ²	dʑ i ²
m ɛ ¹	m ɛ ¹
b i ²	b r i ²
tɕ i ¹	tɕ i ¹
tɕ ɯ ¹	tɕ u ¹
j u ŋ ²	ŋ j o ²
p ɯ ²	p u ²
tsʰ j a j ⁴	tsʰ w a ⁴
tʰ r o ŋ ¹	tʰ r o ŋ ¹
p j æ ⁴	p r æ ⁴
m æ ²	m æ ²
dʑ i ³	d i ³
j e n ¹	j e n ¹
ɖʐ ɯ ²	dʑ ɯ ²
qʰ ʔ ɔ ²	qʰ ɔ ²
z r e n ¹	z e n ¹
pʰ e ¹	pʰ e ¹
ŋ w a ⁴	ŋ w a ⁴
n ɛ ⁴	n ɛ ¹
b j ɛ ⁴	b j ɛ ⁴
pʰ æ ¹	pʰ æ ¹
tʰ u ³	tʰ r u ³
s i ²	s i ²
q ɯ ¹	q ɯ ¹
tʲ a ¹	d ɔ ¹
tɕ i ¹	tɕ i ¹
ts w ɛ ⁴	ts w ɛ ⁴
k w a ⁴	k w a ⁴
b i ³	b r i ³
b u ²	b ɯ ²
tʰ r o ⁴	tʰ r o ⁴
ɣ ɔ ¹	ɣ ɔ ¹
q æ ŋ ¹	q æ n ¹
