kʰ y ²	k j o̠ ³
h e ³	ʃ ɨ̠ ¹
m a ŋ ²	m a ŋ ²
z i ³	z i ³
ˀn i ³	ˀn i ³
g i ¹	g i ¹
p a̠ ³	p a̠ ³
pʰ o ²	pʰ i ²
ɣ i ¹	ɣ i ¹
kʰ u ¹	kʰ u ¹
kʰ a ¹	kʰ a̠ ¹
pʰ ɛ ²	pʰ ɛ ²
ˀl a ŋ ²	ˀl u ²
n a ŋ ¹	n a ¹
tʰ a ²	tʰ a ²
b y ¹	b y ¹
d e̠ ³	d e̠ ³
pʰ ɛ ³	f ɛ ³
b i ²	b o ²
a ¹	a ¹
b e ¹	b ɛ ¹
ʃ a ²	ʃ a ¹
pʰ e ²	pʰ i̠ ³
v a ²	v a ŋ ²
b o ¹	b o ¹
s a ²	s a ²
tsʰ y̠ ³	tsʰ y̠ ³
tsʰ e ¹	tsʰ e ¹
b e̠ ³	b e ³
kʰ a ²	kʰ a ²
ts u ¹	ts u ¹
g i ¹	s i ¹
tʰ a ²	d a ²
m a ²	m ɛ ²
ts a̠ i ¹	ˀm j y̠ ¹
t a ³	t a ³
m ɛ ²	m ɛ ²
kʰ i ²	kʰ i ²
l i ³	ˀl i ³
n̩ ²	n u ²
k a ²	g ɨ ¹
k a ³	k a̠ ³
x a ²	x a ²
b o ³	b o ³
kʰ o̠ ³	kʰ o̠ ³
g o̠ ²	g o̠ ³
t o̠ ³	t o̠ ³
ˀv a ¹	ˀv a ¹
tʰ a ²	tʰ u ²
ʃ i ²	ʃ ɨ ²
m e̠ ³	m ɛ ³
g e̠ u ²	kʰ y ¹
b j ɛ̠ ¹	b j ɛ̠ ¹
ʃ y ¹	s y ¹
dz a ²	k a ŋ ¹
d u ²	d u ²
b e̠ ³	b e̠ ³
pʰ ɛ ¹	pʰ ɛ ³
z a ³	z ɛ ¹
a ²	a ²
m a ²	m a ²
s ɛ ²	s e ²
ʒ i ¹	ʒ e ¹
ʃ a ¹	h a ¹
a ¹	a ¹
ˀn i̠ ²	ˀɲ y ²
d e̠ ¹	d e̠ ¹
g j y o ²	g y ²
m e ²	m ɛ ²
n̩ ²	n i ²
z a ²	z a ²
ˀl a ²	l a ŋ ²
n̩ ²	n̩ ²
ˀl i ³	ˀl u̠ ¹
ˀl e̠ ²	ˀl i̠ ³
s ɛ ²	s ɛ ²
m a ³	m a ³
m e ¹	m e ¹
a ¹	a ¹
d u ¹	d i ¹
ʃ o̠ ¹	h u ¹
ˀn i ³	ˀn i ³
kʰ e ³	kʰ ɛ ²
t i ²	t i ²
dʒ a ŋ ¹	dʒ a ŋ ¹
s i ²	s i ²
pʰ a ²	pʰ a ²
ˀl i ¹	ˀl i ¹
m o ²	m o ²
m i ¹	m e ¹
k o̠ ¹	k j i ³
ˀn e̠ ¹	ˀn i̠ ¹
a ¹	a ¹
ŋ a ²	ŋ a ²
m o ²	m ɨ ²
a ¹	a ¹
tʃʰ i̠ ²	tʃʰ i ²
t u ¹	t u ¹
p a̠ ³	p a̠ ³
a ¹	a ¹
z a ²	z a ²
kʰ ɛ ²	kʰ j ɛ ²
tʰ y ¹	tʰ y ¹
l a ³	l a ³
ʃ a̠ ²	ʃ a̠ ³
m a ³	m a ³
b a ŋ ³	p ɨ̠ ¹
b a ²	b a ²
m ɛ̠ ²	m ɛ ²
dz a ²	dz a ²
ˀm e̠ ¹	ˀm j e̠ ¹
k a ²	k a ŋ ²
l a ²	l a ²
ʒ i ¹	tʃʰ u ¹
d a ²	d a ²
a ¹	a ¹
ʃ e ²	ɣ u ²
d i ²	d i ²
ts e ²	ts e ²
g ɨ ²	g u ²
ʃ ɨ ¹	ʃ ɨ̠ ³
s e̠ ³	s o̠ ³
s a ²	tsʰ i ²
s i ¹	s i̠ ¹
d u ²	d i ²
