ɔ n ɪ ɛ	ɔ n ʊ s
oː d iː t oː r ɛ	aʊ d iː t oː r ɛ m
d ɛ l iː b ɛ r aː r ɛ	d eː l iː b ɛ r aː r ɛ
s k r iː k t uː r a m	s k r iː p t uː r a m
s ɔ lː ɪ k iː t aː t j oː n ɛ m	s ɔ lː ɪ k ɪ t aː t j oː n ɛ m
a k a n t ʊ m	a k a n tʰ ʊ m
k ʊ lː oː k aː r ɛ	k ɔ lː ɔ k aː r ɛ
s t ɔ l iː d ʊ m	s t ɔ l ɪ d ʊ m
a m iː k aː l ɛ	a m iː k aː l ɛ m
a pː r ɔ kː aː r ɛ	a pː r ɔ p j aː r ɛ
p g r oː t r aː ɪ r ɛ	p r oː t r a h ɛ r ɛ
w aː l ɛ t uː d iː n aː r j ʊ m	w a l eː t uː d ɪ n aː r j ʊ m
p aː n ɛ kː l ʊ l a m	p aː n ɪ k ʊ l a m
k ɛ s p ɪ t ɛ m	k aɪ s p ɪ t ɛ m
d ɪ k s p ɛ r aː t j oː n ɛ m	d eː s p eː r aː t j oː n ɛ m
l iː b iː d ʊ m	l ɪ b iː d ɪ n ɛ m
kʷ ɛ s t j ɪ ɔ n aː r j ʊ m	kʷ aɪ s t j oː n aː r j ʊ m
f l uː w j ɪ a l ɛ	f l ʊ w j aː l ɛ m
m aː s a m	m a sː a m
a n ɪ k iː l aː t j oː n ɛ m	a nː ɪ h ɪ l aː t j oː n ɛ m
w iː g oː r ɛ	w ɪ g oː r ɛ m
a b ɛ rː aː r ɛ	a b ɛ rː aː r ɛ
s k r uː t aː r ɛ	s k r uː t aː r ɛ
a k w ɪ ɛ s a r ɛ	a kː w ɪ eː s k ɛ r ɛ
n a l ɪ k a m	n a t ɛ m
a m aː n ʊ ɛ n s ɛ m	aː m a n ʊ eː n s ɛ m
b ɛ n ɛ f aː k r ɛ	b ɛ n ɛ f a k ɛ r ɛ
m ɛ d iː k iː n a l ɛ	m ɛ d ɪ k iː n aː l ɛ m
s ɛ r ɔ t iː n ʊ m	s eː r oː t ɪ n ʊ m
n j ɛ b l m a m	n ɛ b ʊ l a m
s a ŋ gʷ iː n aː r j ʊ m	s a ŋ gʷ ɪ n aː r j ʊ m
a fː l iː k t j oː n ɛ m	a fː l ɪ k t j oː n ɛ m
a r k ɛ t iː p ʊ m	a r kʰ ɛ t y p ʊ m
d ɛ t ɛ r g ɛ r ɛ	d eː t ɛ r g eː r ɛ
eː m uː ŋ g ɛ r ɛ	eː m ʊ ŋ g ɛ r ɛ
r ɛ t aː r d aː r ɛ	r ɛ t a r d aː r ɛ
m ɛ s k ɛ r ɛ	m ɪ s k eː r ɛ
p l uː m a m	p l uː m a m
p r ɔ s t r aː r ɛ	p r oː s t ɛ r n ɛ r ɛ
w iː s iː b iː lː iː d aː d ɛ m	w iː s ɪ b ɪ l ɪ t aː t ɛ m
k ɔ m p ɛ t ɛ r ɛ	k ɔ m p ɛ t ɛ r ɛ
s oː l ʊ m	s oː l ʊ m
eː s ɛ r k iː t ʊ m	ɛ k s ɛ r k ɪ t ʊ m
d ɛ k iː m aː t j ʊ n ɛ m	d ɛ k ɪ m aː t j oː n ɛ m
k ɔ n s ɪ l j ʊ m	k oː n s ɪ l j ʊ m
ɔ k t aː w ʊ m	ɔ k t aː w ʊ m
p aː d r a s t r ʊ m	p a t r a s t r ʊ m
k ɔ n t r ɔ w ɛ r s j a m	k ɔ n t r oː w ɛ r s j a m
k r ɔ t aː l ʊ m	k r ɔ t a l ʊ m
m aː t ɛ r n ʊ m	m aː t ɛ r n ʊ m
d eː m ɔ n s t r aː t j oː n ɛ m	d eː m oː n s t r aː t j oː n ɛ m
s p ʊ s aː r ɛ	s p oː n s aː r ɛ
t r iː b ʊ t ʊ m	t r ɪ b uː t ʊ m
p r ɔ n ɔ s iː k ʊ m	p r ɔ ŋ n oː s ɛ m
d iː fː ɛ r ɪ r ɛ	d ɪ fː ɛ rː ɛ
k aː d aː w ɛ r ɛ	k a d aː w ɛ r
s t iː r p ɛ m	s t ɪ r p ɛ m
a n uː l aː r ɛ	aː n ʊ l aː r ɛ m
f r ɛ m ɪ t ʊ m	f r ɛ m ɪ t ʊ m
m uː r ɛ m	m uː r ɛ m
eː n uː m ɛ r aː r ɛ	eː n ʊ m ɛ r aː r ɛ
m ɛ n uː l aː	m ɪ n uː t j a m
ɪ t uː d iː n ɛ	t uː d ɪ n ɛ m
f l ɔ w ɛ m	f l ʊ w j ʊ m
p lː ɛ n iː t uː d ɛ m	p l eː n ɪ t uː d ɪ n ɛ m
s t uː p r ʊ m	s t ʊ p r ʊ m
k ɛ s aː r ɛ	k ɛ sː aː r ɛ
g ʊ n t uː r a m	j uː ŋ k t uː r a m
t ɛ m p ɔ r aː l ɛ	t ɛ m p ɔ r aː l ɛ m
w r iː n k ɔ l ʊ m	w ɪ ŋ k ʊ l ʊ m
p r ʊ k aː k ɛ	p r ɔ k aː k ɛ m
s ʊ s p ɛ n s j oː n ɛ m	s ʊ s p eː n s j oː n ɛ m
a n iː m	a n iː s ʊ m
l aː t iː t uː d ɪ n ɛ m	l aː t ɪ t uː d ɪ n ɛ m
l iː m p j ɪ d ɛ m	l ɪ m p ɪ d ʊ m
oː	ʊ m
r aː b uː l a m	r a b ʊ l a m
ɔ b l iː g aː t j oː n ɛ	ɔ b l ɪ g aː t j oː n ɛ m
f aː b ʊ l oː s ʊ m	f aː b ʊ l oː s ʊ m
k ɔ ŋ n ɔ m ɛ m	k oː ŋ n oː m ɛ n
w aː k iː lː aː t j oː n ɛ m	w a k ɪ lː aː t j oː n ɛ m
k ɔ lː aʊ d aː r ɛ	k ɔ lː aʊ d aː r ɛ
ɔ s p ɪ t a l ɛ	h ɔ s p ɪ t aː l ɛ
p r ɛ t ɛ r iː r ɛ	p r aɪ t ɛ r iː r ɛ
p ɔ n d ɛ r oː s ʊ m	p ɔ n d ɛ r oː s ʊ m
g ɛ l oː s ʊ m	z eː l oː s ʊ m
eː k s p ʊ ŋ g ɪ r ɛ	ɛ k s p ʊ ŋ g ɛ r ɛ
k iː k aː l a m	k ɪ k aː d a m
eː r ɛ t ɪ k ɛ m	h aɪ r ɛ t ɪ k ʊ m
k ʊ lː ɛ g j ʊ m	k ɔ lː eː g j ʊ m
k ɔ m p ɛ t iː t oː r ɛ	k ɔ m p ɛ t iː t oː r ɛ m
d ɛ g ɔ lː aː r ɛ	d eː k ɔ lː aː r ɛ
