pʰ ɛ̠ ³	b j a̠ ³
n a ²	n a ²
m i ²	m ɨ ²
tʃ a ŋ ¹	tʃ ɛ ¹
kʰ i̠ ¹	kʰ e̠ ¹
k ɨ ¹	k j o ¹
v a ³	v a ³
kʰ o̠ ²	kʰ j o ²
k o̠ ³	k o̠ ³
ʃ a ŋ ¹	ʃ u ³
d i ²	d e ³
kʰ a ²	kʰ a ²
dz e ²	dz i ²
k e ²	k j ɛ ²
l a ¹	l a ¹
s i ¹	s i̠ ¹
dz i ³	dz i ²
a ¹	a ¹
tʃ a ³	tʃ a̠ ³
ˀv a ¹	ˀv a ¹
b e ³³	b e ³
t a ⁵⁵	t a ⁵⁵
kʰ j i̠ ²	kʰ j i ²
m ɛ ²	m ɛ ²
k o̠ ³	k o̠ ¹
m ʒ ³	m o ²
m i ¹	ˀm i ¹
ts e ³	ts i̠ ³
tsʰ o̠ ¹	tsʰ o̠ ¹
d e ¹	d i ¹
b u ³	b u̠ ¹
h e̠ ³	x e̠ ³
s ɛ ²	s ɛ ²
z a ²	z a ²
p a ¹	p a ¹
tʃʰ ɨ ¹	tsʰ y̠ ¹
a ¹	a ¹
t e ²	t e ²
ˀn i ¹	n i ¹
dz e ¹	dz e ¹
a ¹	a ¹
dʒ u ¹	dʒ u ³
ʒ u ¹	ʒ a ŋ ¹
a ²	a ²
kʰ i ¹	kʰ i ¹
tʰ a ²	d a ²
pʰ y ²	pʰ y ²
l y ¹	l y ¹
ˀŋ j a ¹	ŋ j a̠ ¹
kʰ o̠ ³	kʰ o̠ ³
k j ɛ ²	k j ɛ ²
s ɛ ²	s ɛ ²
m ɛ ²	m u ²
ˀŋ j a ²	ɲ a ²
k o̠ ³	g o̠ ³
ʒ e̠ ¹	ʒ e ¹
kʰ i ¹	kʰ i ¹
m o ²	m o ²
ʃ i̠ ¹	ʃ i ¹
b j ɛ̠ ³	b e ²
k u ¹	k u ²
dʒ i ²	dz i ²
ˀm ɛ ³	ˀm ɛ ²
ˀn e ²	n i ²
ɣ i ¹	ɣ ɨ ¹
s e̠ ¹	s a ¹
ɣ i ¹	ɣ i ¹
kʰ a ³	kʰ a ³
b y ¹	b y ¹
kʰ i ¹	kʰ i ¹
ts a ²	dz a ŋ ²
p j a ²	b a ²
tʰ a ²	tʰ a ²
ˀl o̠ ³	ˀl o̠ ¹
ʃ e̠ ³	ʃ e̠ ³
s y ²	s y ²
t a ³	d a ²
z a ²	z a ²
x a̠ ³	x a̠ ³
v ɛ̠ ³	v ɛ̠ ³
m a ŋ ³	m o ¹
d a ¹	d a ¹
t e̠ ²	t i ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
b o ²	b a ²
h a ¹	ˀx a ¹
ɣ a ŋ ²	ɣ a ŋ ²
a ¹	a ¹
ˀv a ²	v y ²
ɲ u ¹	ɲ a ¹
tʃʰ ɨ ²	tʃʰ ɨ ²
ˀv a ¹	ˀv a ¹
d i ²	d i ²
l y ²	l y ²
k e̠ ³	tʃ e̠ ³
ˀl o̠ ¹	ˀl o̠ ¹
s i ¹	s i̠ ¹
a ¹	a ¹
pʰ i ²	pʰ i ²
t i ³	t i̠ ³
h e ³	h e̠ ³
ˀx ɛ ²	x ɛ ²
pʰ y ²	pʰ y ²
b o ²	b a ²
x i ³	x ɨ̠ ³
k a ³	k a ŋ ²
ɣ i ³	ʃ i ³
ɣ a ³	ɣ a ³
dʒ ɛ ²	dʒ ɛ ²
g j a ¹	g j a ¹
s i ³	s i ³
tʰ u ¹	tʰ u ¹
tʃʰ i̠ ²	tʃʰ i ²
d u ²	d u ²
ˀn i ¹	ˀn i ¹
n e̠ ¹	n e̠ ¹
a ¹	a ²
v e̠ ³	v e̠ ³
ʒ i̠ ³	x i̠ ³
p i ³	pʰ e ¹
m a ³	m a ³
ts i ³	ts e ²
m a ³	m a ³
l e̠ ²	l a ²
