pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
b l a ¹¹	b l a ¹¹
n̥ ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
j a m ¹¹	j a m ¹¹
m ei ¹¹	m̥ ei ¹¹
d e ⁵⁵	d e ɴ ⁵⁵
n̥ w ɛ ¹¹	n̥ w ɛ ¹¹
n̥ i ⁵⁵	n̥ i ⁵⁵
n̥ e ¹¹	n e ¹¹
pʰ u ⁰	pʰ r u ɴ ⁵⁵
k ou ¹¹	h ou ¹¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
k e ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
kʰ u ʔ̚ ⁵¹	kʰ u k̚ ⁵¹
ɟ a ¹¹	ɟ a ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
ˀd a ⁵⁵	ˀd a ⁵⁵
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
tʰ o ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
k i ⁵⁵	k i ⁵⁵
l o ⁵⁵	l̥ o ⁵⁵
ˀb w a ⁵⁵	ˀb w w a ⁵⁵
t ə ⁰	t ə ⁰
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
ˀb ɔ ⁵⁵	ˀb ɔ ⁵⁵
m a ¹¹	m a ¹¹
n̥ w ɨ m ⁵⁵	n ɨ m ⁵⁵
s ə ¹¹	s w ɨ ɴ ¹¹
b e ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
l u ⁵⁵	l u ⁵⁵
ˀd w ɔ ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
ˀb ə ¹¹	ˀb ə ¹¹
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
