kʰ ɛ ¹	kʰ a̠ ¹
dz a ŋ ¹	dz a ŋ ¹
t a ³	t a ³
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ɣ i ²	ɣ ɨ ²
m a ¹	m a ³
pʰ j a ¹	pʰ j a ¹
kʰ a ¹	ɣ o ³
l o̠ ³	l o̠ ³
t a ³	t a̠ ³
ˀn i ¹	ˀn i ³
p ɨ ²	p j ɨ ²
s a ²	tsʰ i ²
d o̠ ¹	d o̠ ¹
h ɛ ¹	h ɛ̠ ¹
p a ¹	p a ¹
g j a ¹	g ɨ ¹
ɣ i ¹	ɣ i ¹
tʃ e ¹	ts e ¹
b i ³	b i ³
ˀl o̠ ¹	ˀl o̠ ¹
b y ³	b y̠ ³
x e ¹	x e̠ ³
ʃ a ²	ʃ a ²
a ³	a ²
ˀv y ¹	v y ²
ˀn a ³	ˀn i ³
k i ¹	k j i ³
ʃ a ³	ʃ a̠ ³
k a ²	k a ŋ ²
j a ŋ ¹	j a ŋ ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
kʰ y ¹	kʰ j y ¹
k a ŋ ³	ɣ o ²
g u ³	g u ³
ˀl y ¹	ˀl y ¹
s a ²	s a ²
v i̠ ¹	ˀv i̠ ³
s i ¹	s i̠ ¹
t i ²	t i ²
s i ¹	s e ¹
a ¹	a ¹
ˀn i ³	ˀn i ³
v ɛ̠ ³	v ɛ̠ ³
k ɛ ²	k j ɛ ²
d a ŋ ¹	d a ŋ ¹
dz i ¹	dz i̠ ¹
l y ²	l y ²
dz e ¹	dz e ¹
t a ³	t a ³
dz y ²	dz y ²
a ¹	a ¹
ɲ i ²	ŋ i ²
m i ²	m i ¹
b i ¹	b i ¹
ɣ a ŋ ¹	ʃ u ³
d i ¹	d i ¹
ɣ i ¹	ɣ i ¹
kʰ u ¹	kʰ u ¹
g u ²	g u ²
v a ³	v a ²
ʒ i ¹	ʒ e ¹
b y ³	b y ³
a ²	a ²
tʰ y ¹	tʰ y ¹
s a ²	dz i ²
tʰ a ²	tʰ a ŋ ²
ˀn o̠ ³	ˀn u̠ ³
n i ¹	n e ¹
ts i ²	ts i̠ ³
g j ɛ̠ ¹	g ɛ̠ ¹
n i̠ ¹	n i̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
x i ¹	x e ¹
d u ¹	d u ²
a ¹	a ¹
m ɛ ²	m ɛ ²
m a ¹	m a ²
n i̠ ¹	n i̠ ¹
pʰ j i ²	b a ²
z e̠ ³	z e̠ ³
tsʰ e ¹	tsʰ e ¹
tsʰ i ²	tsʰ ɨ ²¹
b e̠ ³	b e̠ ³
d i ¹	d i ¹
tsʰ u ¹	tsʰ u ¹
b ɨ̠ ²	b a ²
pʰ ɨ ²	pʰ ɨ ²
a ³	a ²
p a̠ ³	p a̠ ³
m o̠ ¹	m o̠ ¹
dz i ³	dz i ³
ɣ i ³	ʃ i ³
kʰ i ¹	kʰ i ¹
ˀm o̠ ²	m o̠ ³
a ¹	a ¹
g i ¹	s i ¹
m ɛ ³	m ɛ ²
t e̠ ¹	t i̠ ¹
b a ²	b a ²
s y ¹	s y ¹
t u ²	t u ²
ˀl i ³	ˀl u̠ ¹
n e ³	n e ²
p a̠ ³	p a̠ ³
l y ¹	l y ²
ˀn a ²	ˀn a ²
v ɛ ¹	v ɛ ¹
n e̠ ³	n i̠ ³
ts i ¹	ts u ¹
l e̠ ³	l e̠ ³
dz i ²	dz i ²
tsʰ i ¹	tsʰ i ¹
k a ³	k a̠ ³
f u ³	f u ³
l a ¹	l a ¹
s i ³	s i̠ ³
kʰ i ³	kʰ ɨ ³
s y ²	s y ²
t a ¹	k a ŋ ¹
ɣ e ²	ɣ ɛ ²
tʃʰ i ¹	kʰ j e ¹
l a ²	l a ²
t i̠ ¹	t e ²
g a ²	g a ŋ ³
