g j ɛ ¹	g ɛ̠ ¹
kʰ o ²	kʰ o ²
g o ¹	g u ¹
a ¹	a ¹
z a ²	z a ²
ˀl a ¹	ˀl a ¹
d a ³	d a ŋ ¹
kʰ ɨ ³	kʰ ɨ̠ ³
t a ²	t a ²
pʰ i ³	pʰ e̠ ¹
tʃ ɨ̠ ¹	tʃ ɨ̠ ¹
ʒ i ¹	tʃʰ u ¹
m a ²	m a ²
d u ³	d u ²
b a ²	b a ²
dz e ¹	dz e ¹
k j i ¹	k o̠ ³
b a̠ ²	b ɨ ²
ʃ ɛ ¹	ʃ ɛ ¹
z a ²	z a ²
b i ³	b i ³
s i ¹	s i ²
ˀl i ¹	ˀl u̠ ¹
ʒ o̠ ²	ʒ o̠ ³
x a̠ ³	x a̠ ³
tʃʰ o̠ ³	tʃʰ o̠ ¹
s ɛ ²	s ɛ ²
s i ¹	s i̠ ¹
kʰ o̠ ³	kʰ o̠ ³
b y ¹	b y ¹
d ɛ ²	d ɛ ²
n e̠ ¹	n i̠ ¹
tsʰ y ¹	tsʰ a m ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
m o ²	m o ²
m y ¹	m y ¹
z a ²	z a ²
a ¹	a ²
ʃ a ¹	ʃ a ¹
kʰ i ¹	kʰ i ¹
kʰ a ³	g a ³
n i ²	n i ²
s e̠ ¹	s o̠ ³
a ¹	a ¹
ˀl u ¹	ˀl u ¹
tsʰ a ¹	tsʰ a ¹
ˀv ɛ ¹	ˀv ɛ̠ ¹
n e ²	n i̠ ¹
d i̠ ¹	dz ɿ ³
d y ¹	d y ¹
d a ¹	d a ¹
ts a ³	ts a ³
tsʰ ɛ ¹	tsʰ ɛ ¹
g j i ¹	g ɨ ¹
b y ²	b y ²
ɣ i ¹	ɣ i ¹
ˀn a ²	ˀn a ²
dz i ²	dz e ²
l i̠ ²	l a ²
ʒ e̠ ¹	ɣ e̠ ¹
n ɛ ¹	ɲ e ¹
v a ³	v a ³
ɲ i ¹	n u ²
kʰ o̠ ³	kʰ o̠ ³
b e̠ ³	b e̠ ³
ˀn i̠ ³	ˀɲ y ²
tʃʰ i̠ ³	tʃʰ i̠ ³
a ¹	a ¹
tʰ a ²	tʰ a ²
ˀm e̠ ¹	ˀm j e̠ ¹
ˀn i ³	ˀn i ³
kʰ y ¹	kʰ y ¹
k a ³	k o̠ ³
k ɛ ¹	k ɛ ³
pʰ ɨ ¹	pʰ ɨ ¹
n a ²	ɲ a ²
z a ²	dz i ²
x i ¹	ˀx y ¹
m ɛ ²	m ɛ ²
m i ¹	m i ¹
ʒ o̠ ³	ʒ o̠ ³
d e ¹	d e ¹
tʰ u ¹	tʰ u ¹
m a ³	m a ³
pʰ ɛ ²	pʰ ɛ ²
k a ²	k a̠ ³
n a ¹	n a ¹
p o̠ ³	p o̠ ¹
p ɨ ²	p j ɨ ²
p e ²	p e ³
n̩ ²	n i ²
dʒ ɛ ²	dʒ ɛ ²
kʰ u ²	kʰ u ²
ˀv ɛ ²	ˀv ɛ ²
p a ŋ ¹	p a ŋ ¹
kʰ i̠ ²	kʰ ɨ̠ ³
t e̠ ³	t a ³
a ²	a ²
b a ¹	b a ŋ ³
a ¹	a ¹
a ¹	a ¹
s j a ŋ ¹	s y ¹
ˀm ɛ ¹	ˀm ɛ ¹
s y ²	s y ²
ts y ³	ts y ³
k e̠ ²	k j e ²
n e̠ ³	ˀn e̠ ³
s e̠ ³	s e̠ ³
ˀn a ³	n a ŋ ³
pʰ i ²	pʰ o ²
kʰ y ³	k j o̠ ³
v i̠ ³	v i̠ ³
m i ¹	ˀm i ¹
g i ³	x i ³
tsʰ u ¹	tsʰ y ¹
z a ²	z a ²
ʒ i ¹	ʒ e ¹
m ²	m̩ ²
n u ¹	n a ¹
tsʰ y ¹	tsʰ y̠ ¹
m o ³	m ɨ ²
g i ²	g ɨ ²
ˀn y ¹	ˀn y ¹
m ɛ ²	m ɛ ²
i ²	i ²
