sʰ w a ⁴	s w a ⁴
tɕ e n ²	ɖʐ e n ²
qʰ æ ⁴	qʰ æ ⁴
d r o ŋ ¹	d r ɔ ¹
χ ɯ ⁴	χ ɯ ⁴
ɣ o ŋ ³	g o ŋ ³
ɖʐ o ⁴	ɖʐ o ⁴
x w æ ²	x w a ¹
sʰ r o ŋ ¹	s o ŋ ¹
ɕ i ⁴	ɕ i ⁴
pʰ r o ¹	pʰ r æ ¹
m ø ŋ ²	m ø ²
ŋ u ¹	ŋ o ¹
b j o ⁴	b j o ⁴
q o ŋ ¹	q o ŋ ¹
tʰ u ²	tʰ j u ²
sʰ o ⁴	sʰ o ⁴
kʰ o ŋ ¹	kʰ u ŋ ¹
ɣ o ¹	k r o ŋ ¹
t æ n ¹	t æ ¹
ɣ ɯ ²	ɣ ɯ ²
n j o ŋ ¹	n j o ¹
z ɔ ¹	z ɔ ¹
d r r ɯ ¹	d r ɯ̃ ¹
n o ¹	n o ²
k o ŋ ²	k o ŋ ²
s w a ŋ ¹	s w a ŋ ²¹
ɖʐ ɯ ²	dʑ ɯ ²
j o ⁴	j ɔ ⁵
ɣ æ ⁴	ɣ æ ⁴
d i ²	dʑ i ²
qʰ ɯ ¹	k ɯ ¹
n j e n ¹	n j e n ¹
d j e ⁵	d j ɛ ⁵
x e n ¹	x e n ¹
ɖʐ i ⁴	ɖʐ i ⁴
m ɛ ¹	m ɛ ¹
kʰ r o ŋ ¹	qʰ o ŋ ¹
j e n ¹	j e n ¹
p j o ŋ ⁴	p j o ⁴
tʰ u ŋ ²	tʰ u ²
g u ¹	g u ¹
m r o n ¹	m j æ ¹
d r ɯ ³	d r ɯ ³
s r o ¹	s r o ¹
s r u ŋ ⁵	s r o ⁴
qʰ j u ¹	qʰ u ²
