l i ¹	ˀl i ³
d e ¹	d i ¹
kʰ ɛ ²	kʰ j e ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
tʃ u ¹	tʃ a ŋ ¹
v ɛ ¹	v ɛ ¹
pʰ y ²	pʰ y ²
d e̠ ¹	d e̠ ¹
tsʰ i̠ ²	kʰ j i ²
k ɨ ²	k j o ²
h ɛ̠ ¹	h ɛ̠ ¹
tʃʰ i̠ ²	tʃʰ i ²
b ɛ̠ ¹	b ɛ̠ ¹
a ¹	a ¹
d a ŋ ¹	t a ŋ ³
b o ³	b u̠ ¹
tʃʰ y ¹	tsʰ y ¹
b i ¹	p ɨ̠ ¹
ɣ o ¹	v u ¹
s y ²	s y ²
kʰ o̠ ³	kʰ o̠ ³
b a ²	b a ²
kʰ a ²	kʰ a ²
dz a ¹	dz a ¹
t ɛ ¹	t ɛ ¹
pʰ ɨ ²	pʰ ɨ ²
v a ²	v a ²
d a ŋ ¹	d a ŋ ¹
tʃʰ e ²	tsʰ i ²
m u ¹	ˀm u ¹
k e ²	s e ¹
b e̠ ²	b o ²
tʃʰ ɛ ³	tsʰ ɛ ³
d a ²	d a ²
k u ¹	k u ¹
dz e ¹	dz e ¹
h e ¹	h e ¹
ɣ ɨ ¹	ɣ i ¹
ɣ ɨ ³	ɣ y̠ ³
l a ²	l a ²
dz i ¹	dz i ¹
k j e ²	k j ɛ ²
tʃ ɛ ³	tʃ ɛ̠ ³
h a ¹	h a ¹
a ²	a ²
ˀn i ³	ˀn i ³
b j ɛ̠ ¹	b j ɛ̠ ¹
h a ŋ ²	h a ŋ ²
m a ³	m a ³
k a ŋ ³	k a̠ ³
a ¹	a ¹
z i ³	z i ³
s ɛ ²	s ɛ ²
g a ²	g ɨ ¹
k a ²	k a ŋ ²
b y ²	b y ²
l y ²	l y ²
pʰ e ¹	pʰ e ¹
ˀm ɛ ¹	ˀm ɛ ¹
kʰ ɛ ¹	kʰ ɛ ¹
ɣ i ¹	ɣ i ¹
x a ²	x a ²
g u ²	g j u ²
a ¹	a ¹
l ɛ̠ ³	l e̠ ³
g a ŋ ³	g a ³
tʃʰ ɨ ²	tʃʰ ɨ ²
s i ¹	s i̠ ¹
ɣ a ¹	g a ¹
h e̠ ³	h e̠ ³
ˀn a ¹	ˀn a ¹
pʰ ɛ̠ ³	b y̠ ³
ɣ i ¹	ɣ i ¹
m a ³	m a ³
dz a ¹	dz a ²
ʒ i ¹	ʒ e ¹
tʃ a ŋ ¹	tʃ ɛ ¹
tsʰ i ³	tsʰ i̠ ³
a ¹	a ¹
ɣ i ¹	ɣ i ¹
x i ¹	x e ¹
ˀn e ²	n e ²
a ²	a ²
z e̠ ³	z e̠ ³
z a ²	z a ²
l a ³	l a ³
tʰ u ²	tʰ u ²
ˀl a ŋ ³	ˀl a ŋ ³
ʒ o ŋ ¹	v u ¹
p e̠ ³	p ɛ ³
ˀn y̠ ³	ˀn y̠ ³
s a̠ ²	ʃ a̠ ³
ˀv e̠ ¹	ˀv e̠ ¹
s a ³	ʃ a̠ ³
b y ³	b y ³
ts e ²	ts e ²
p ɨ ²	p j ɨ ²
s o ¹	s o̠ ³
kʰ y ¹	kʰ j y ¹
a ¹	a ¹
d i ¹	d i ¹
m ɛ ²	m e ²
tʃ ɛ ¹	tʃ ɛ ¹
l a ¹	l a ¹
tʃʰ e ²	tʃʰ e ²
m o̠ ³	m o̠ ³
tʰ a ¹	t ɛ ¹
k a ¹	k o̠ ³
t ɛ̠ ²	t e ²
m o̠ ¹	m o̠ ¹
ˀŋ j a̠ ²	ɲ a ²
m j a ²	m j y ²
ʃ y ¹	s y ¹
kʰ a̠ ¹	kʰ a̠ ¹
b e ²	b y ²
l a ²	l a ²
d u ²	d u ¹
dʒ a ²	dʒ ɛ ²
ˀx u ²	x ɛ ²
ʃ o ²	ʃ u ²
kʰ a ³	kʰ a ³
m a ²	m a ²
ˀm ɛ̠ ²	m u ²
d i̠ ¹	tʃʰ i̠ ³
