sʰ o ŋ ¹	s o ŋ ¹
q æ ⁴	q æ ⁴
pʰ ɔ ³	pʰ ɔ ³
d j ɯ ⁴	t ɯ ⁴
ts r u ŋ ¹	ts u ŋ ¹
l ɔ ¹	l a ¹
ts i ²	ts r i ²
ɣ o ⁴	ɣ u ⁴
ŋ o ¹	ŋ o ¹
ʈ j ø ¹	d r o ŋ ¹
s j e n ¹	sʰ j e n ¹
tsʰ j æ n ¹	tsʰ j æ n ¹
p j ɛ ³	pʰ j ɛ ³
p ø ¹	p j o ²
tsʲʰ j e n ¹	tsʰ j e n ¹
b ŋ ø ŋ ²	b o ŋ ²
ɖʐ u ŋ ¹	ts u ŋ ¹
tʲ ɔ ¹	d ɔ ¹
k a ŋ ¹	k a ŋ ¹
b j o ŋ ²	b j ɛ ²
s j i ²	s j i ²
s r u ¹	ʂ u ¹
g u ¹	g u ¹
a ³	ʔ a ⁴
kʰ r o ²	kʰ r o ²
b e ŋ ¹	p r i ¹
ɣ ɯ ²	ɣ ɯ ²
ts o ⁴	ts o ⁴
ŋ w e n ¹	ŋ w e n ¹
m r æ ¹	m j æ ¹
ts r o ⁴	ts r o ⁴
t w e n ¹	t w e n ¹
n ɛ ¹	n ɛ ¹
ʈ r u ŋ ¹	ʈ o ŋ ¹
d r ɯ ¹	d j ɯ ¹
qʰ w æ ³	qʰ w æ ³
k o ⁵	k o ⁵
ʔ o ⁴	ʔ o ⁴
n j o ŋ ¹	n j o ¹
sʰ o ⁴	sʰ o ⁴
tʰ r i ⁴	tsʰ r i ¹
b i ³	b r i ³
k ɔ ⁴	k o ⁴
n i o ²	n j o ²
k w a ⁴	k w a ⁴
dʑ a ⁴	dʑ a ⁴
q æ ⁵	q æ ⁵
