pʰ e ²	pʰ ɨ ²
ɣ a ŋ ²	ɣ a ŋ ²
n e̠ ¹	n e̠ ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
x a̠ ³	x a̠ ³
p i ²	p i ²
k ɨ̠ ³	k e̠ ³
m e ³	m i ¹
tsʰ i ²	tsʰ ɛ ²
m y ²	m ɨ ²
ts o̠ ²	ts a ŋ ³
dz e ¹	dz e ¹
g o̠ ³	g o̠ ³
ɣ a ¹	s e ¹
b a ŋ ²	b a ŋ ²
tʃ i̠ ¹	tʃ u ¹
ɣ i ¹	ɣ i ¹
ɣ i ³	ɣ i̠ ³
ʃ ɨ ²	ʃ ɨ ²
t e̠ ¹	t e̠ ¹
z a ²	z a ²
b a ¹	b a ²
l o̠ ¹	l u̠ ¹
ʒ e̠ ³	ʒ e̠ ³
k a ¹	k u ¹
b ɛ̠ ¹	b ɛ ¹
m a ŋ ³	m ɛ ³
s y ¹	s y ¹
d i ²	d i ²
s ɛ ²	s ɛ ²
tʃ u ³	tʃ ɛ̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
m a ²	m a ³
s j a ŋ ¹	s y ¹
tsʰ i ²	tsʰ ɨ ²¹
a ¹	a ¹
h a ŋ ²	h a ŋ ²
pʰ a ²	pʰ a ²
e ²	e ²
dz y ²	dz y ²
tʃʰ i̠ ²	tʃʰ i ²
tsʰ e ¹	tsʰ e ¹
k a ŋ ¹	x a ŋ ¹
t ɛ̠ ³	t a̠ ³
t a ŋ ¹	t a ŋ ¹
dz a ³	dz i̠ ¹
t o̠ ³	t u ³
a ²	a ²
l a ²	l a ²
ˀv a ¹	ˀv a ¹
ŋ a ¹	ŋ a ¹
m a ³	m a ³
n e̠ ¹	n i̠ ¹
l u ²	l u ²
b ɛ ²	b ɛ ²
s a ³	k o̠ ³
tʃʰ ɨ ²	tsʰ ɿ ²
g ɨ ¹	g ɨ ¹
kʰ a ¹	g a ³
ɣ i ³	ɣ i ¹
tʰ a ŋ ²	tʰ o ²
g j a ¹	g i ¹
dz i ¹	dz i ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
m e̠ ³	ˀm e̠ ³
dz i ¹	dz i ¹
n y ¹	n y ¹
x a̠ ³	x a̠ ³
s ɛ ²	s ɛ ²
t o̠ ³	t o̠ ³
ʃ ɨ̠ ²	ʃ ɨ̠ ³
s a ²	s a ²
dz i ²	dʒ i ²
n i ²	n i ²
j a ŋ ³	k j i ³
m ɨ ³	m ɨ̠ ³
d e̠ ³	d ɛ̠ ³
n e̠ ¹	n i̠ ¹
v a ²	v a ³
p ɨ̠ ¹	p ɨ ¹
ɣ i ³	ɣ i ¹
a ²	a ¹
d i ¹	d i ¹
k e̠ ¹	k u ²
ʃ o̠ ¹	h u ¹
l e̠ ²	l e̠ ³
z i̠ ³	z i ³
tʃ a̠ ¹	tʃ a ¹
t a ²	t a ⁵⁵
a ¹	a ¹
t e ²	t e ²
ˀn y ¹	ˀn y ¹
h y̠ ³	h y̠ ³
ɣ a ²	ˀx a ¹
kʰ a ²	kʰ a ŋ ²
k ɨ ²	k j o ²
b e̠ ³	b e̠ ³
pʰ ɛ ³	pʰ ɛ ³
v a ²	v a ²
k a̠ ²	k a ŋ ²
p ɛ̠ ³	p ɛ̠ ¹
i̠ ²	a ²
tsʰ a ¹	tsʰ a ¹
tʰ a ³	dz ɛ̠ ³
s o ¹	ɣ u ²
p a̠ ³	p a̠ ³
m ²	m̩ ²
n e̠ ¹	n i̠ ¹
n e̠ ¹	n i̠ ¹
d i ¹	d i ¹
n y ¹	ˀn y ¹
ɣ i ¹	ɣ ɨ ¹
m a ²	m a ²
d i ²	tʰ i ²
m ɛ ²	m ɛ ²
t a ²	t a ⁵⁵
s i ¹	s i̠ ¹
ʃ a ³	h a ¹
s ɛ ²	h a ¹
ɣ i ²	ɣ ɨ ²
l i ³	ˀl i ³
tsʰ i ³	tsʰ i̠ ¹
t ɛ ¹	t ɛ ¹
a ¹	a ¹
s e ¹	s e ¹
