m u ⁴	m ɔ ⁴
tʰ r r æ ⁴	tʰ r æ ⁴
ɖʐ u ŋ ¹	ɖʐ o ¹
b j o ⁴	b j o ⁴
p j o ⁴	p j u ⁴
b i ³	b r i ³
h ɔ ³	h ɔ ³
g u ¹	g u ¹
ŋ w e n ¹	ŋ w e n ¹
s r w a ¹	ɕ w i ²
b o ¹	b ã ¹
ɣ ɔ ¹	ɣ ɔ ¹
n ɯ n ²	n j i ²
n o ³	n o ŋ ³
n j e n ¹	n j e n ¹
ts i ⁴	ts j i ⁴
m i ¹	m i ¹
d j e ⁵	d j ɛ ⁵
qʰ a ⁴	qʰ a ⁴
k u ŋ ¹	k o ŋ ¹
g r ɯ ³	g ɯ̃ ³
ŋ w e ²	ŋ w e n ²
qʰ w a ⁴	qʰ w a ⁴
tʰ r a ⁴	tʰ a ⁴
tsʰ o ⁴	tsʰ o ⁴
s j e n ¹	s j e n ¹
s ɔ ²	s ɔ ²
x w i ²	x w i ²
p r æ ⁴	p r æ ⁴
b æ n ³	b æ n ³
qʰ o	qʰ ɔ ⁴
g o ¹	g o ¹
ɕ j u ²	ɕ w i ²
qʰ ɔ ¹	qʰ ɔ ¹
ɣ a j ⁴	tsʰ w a ⁴
ɯ ²	ɯ̃ ²
tsʲʰ i ⁴	tsʰ j i ⁴
m æ ⁴	m æ ⁴
q w ɛ ⁵	q w ɛ ³
s a	s a ⁴
m u ¹	m ɔ ¹
tʰ u ¹	tʰ r u ¹
pʰ ɔ ³	pʰ ɔ ³
m o ²	m ø ²
d r r o ŋ ¹	d r o ŋ ¹
ɣ o ⁴	ɣ u ⁴
j ɯ	j ɯ ⁴
