tʃʰ a ³	tʃʰ e̠ ³
m a ³	m a ³
tʃʰ u ²	t u ²
b a ²	b a ²
t y ¹	t y ¹
h a ¹	ˀx a ¹
ɣ i ¹	ɣ i ¹
pʰ i ²	p i ²
k a ³	k a̠ ³
ʒ o̠ ³	ʒ o̠ ¹
m ɛ ²	m ɛ ²
ts ɨ ²	ts i ²
tʃ a ³	tʃ a ³
ˀl a ŋ ¹	ˀl a ŋ ³
tsʰ e ¹	k i ¹
ʃ a ³	ʃ a̠ ³
g a ²	g a ²
ˀn i ¹	ˀn i ¹
ˀm e̠ ¹	ˀm j e̠ ¹
kʰ i ²	kʰ ɨ ²
e ²	e ²
ts ɿ ²	ts i ²
ɣ ɨ ³	ɣ o ³
dʒ ɛ̠ ¹	dʒ e̠ ¹
d a ²	d a ²
a ²	a ²
z ɛ ³	z a ²
s y ²	s y ²
kʰ o̠ ³	kʰ o̠ ³
ɣ ɨ ³	ɣ ɨ ³
s y ²	ʃ y ²
kʰ y ²	kʰ j o ²
h u ¹	ˀx o̠ ¹
z o ²	z a ²
n a ²	n a ²
x a̠ ³	x a̠ ³
p ɨ ¹	p ɨ ¹
tsʰ i ²	kʰ j i ²
m o ²	m o ²
s u ¹	s i̠ ¹
x i ¹	x ɨ ¹
l i ¹	ˀl i ¹
b e̠ ³	b e̠ ³
b a ŋ ³	b a ŋ ³
p a̠ ³	p a̠ ³
ɣ ɨ ³	ɣ i ¹
k i ¹	k i ¹
h y̠ ³	h y̠ ³
kʰ y ¹	kʰ j y ¹
tʰ y ³	tʰ y ³
n ɛ̠ ³	n ɛ ³
h e ¹	h e ¹
ɣ u ¹	h u ¹
t e̠ ¹	t u ¹
b i ²	b j o ²
kʰ u ²	kʰ o ²
s u ¹	ʒ a ¹
z a ²	z a ²
h e̠ ³	h e̠ ³
a ²	a ²
b o ²	pʰ u ¹
t u̠ ²	t i ²
dz e ¹	dz e ¹
tsʰ a ¹	tsʰ a ¹
kʰ u ¹	kʰ u ¹
l o̠ ³	l o̠ ³
dz a ¹	dz a ¹
dz y ²	dz y ²
ts i ³	ts i ³
a ²	a ¹
s i ¹	s e ¹
p ɛ̠ ³	p a̠ ³
n i ²	n i ²
x a ¹	x a ¹
p a̠ ³	p a̠ ³
tʰ a ²	tʰ a ²
l e̠ ²	l e̠ ³
n y ¹	n y ¹
kʰ a ³	g a ³
m a ³	m a ³
ʃ a ³	ʃ a̠ ³
tʃʰ i̠ ²	tʃʰ i ²
h e ¹	h e ¹
g a ³	g a ³
b e̠ ²	b y ²
h a ¹	h a ¹
kʰ o̠ ³	kʰ o̠ ³
ʒ i ²	ʒ i̠ ³
l u ¹	l u̠ ¹
l a ¹	l a ¹
ˀn i ²	ˀɲ y ²
ɣ i ¹	ɣ i ¹
ŋ o ¹	ŋ o ¹
ˀl a ²	ˀl a ²
ŋ a ¹	ŋ a ¹
d ɛ ²	d ɛ ²
ts e ²	ts e ²
tsʰ i̠ ¹	tʃʰ e ¹
dz e ³	dʒ e ¹
ʒ i ¹	ʒ e ¹
pʰ o̠ ¹	pʰ u ¹
pʰ o ²	pʰ u ²
ˀv ɛ ¹	ˀv ɛ̠ ¹
t i ¹	d i ¹
dz i ³	dz i ²
a ¹	a ¹
ˀn i ¹	ˀn i ³
g e̠ ³	g j e̠ ¹
s y ¹	s y ¹
b a ¹	pʰ u ²
h ɛ ³	x e̠ ³
ts ɿ ¹	ts u ¹
b e̠ ¹	b e̠ ¹
h e ¹	h e ¹
a ¹	a ¹
ɣ a ¹	g a ¹
k j y ³	ts y ³
tʃʰ i ³	tʃʰ i̠ ³
tʃʰ o̠ ¹	tʃʰ o̠ ¹
m e ²	m a ³
ɣ ɛ ²	ɣ ɛ ²
b o ²	b o ²
p e ¹	p e ¹
p e̠ ²	p e ³
