b ɨ ²	b o ¹
ŋ a ²	ŋ a ²
b a ŋ ³	b a ŋ ³
z i ²	z i ²
b e̠ ²	b y ²
p a̠ ³	p a̠ ³
z a ²	z a ²
n a ¹	n a ¹
ˀm e̠ ¹	ˀm j e̠ ¹
tʃ ɨ ³	tsʰ y̠ ¹
m a ²	m a ²
ˀn e̠ ¹	ˀn e̠ ¹
t ɛ ¹	t ɛ ¹
kʰ a ²	kʰ a ²
n e̠ ¹	n e̠ ¹
a ²	a ²
h e̠ ³	h e̠ ³
l a ²	l a ²
kʰ a ³	g a ³
l a ¹	l a ¹
ʃ i̠ ¹	ʃ i̠ ¹
ts a ¹	ts a ¹
b a ²	b a ²
v ɛ̠ ³	v ɛ̠ ³
k i ¹	k i ¹
x i̠ ³	x ɨ̠ ³
tʰ a ²	tʰ u ²
z a ²	z a ²
s ɛ ²	s ɛ ²
ɣ i ¹	ɣ i ¹
b i ²	b i ²
a ¹	a ¹
l y ¹	l y ¹
n i̠ ¹	n i̠ ¹
tsʰ o ¹	tsʰ y ¹
a ¹	a ²
p e̠ ³	p ɛ ³
tsʰ ɛ ¹	tsʰ ɛ ¹
v a ²	v a ²
s i ³	s i̠ ¹
z ɿ ³	z i ³
tʰ a ŋ ²	tʰ a ŋ ²
d i ¹	d i ¹
pʰ i̠ ²	pʰ e ²
m o ²	m o ²
a ²	a ²
s e̠ ³	s e̠ ³
kʰ u ¹	kʰ u ¹
kʰ y ²	kʰ y ²
pʰ i ²	pʰ o ²
a ¹	a ¹
g a ³	g a̠ ³
l y ¹	l y ¹
b e ³	b j e̠ ³
l ɛ̠ ³	l e̠ ³
d i ¹	d i ¹
m a ³	m a ³
a ¹	a ¹
ˀm a ³	ˀm a ³
a ¹	a ¹
ts a ¹	ts a ¹
k a ³	k a̠ ³
ʒ a ŋ ¹	ʒ a ŋ ¹
b e̠ ¹	b e̠ ¹
p a ŋ ¹	p a ŋ ¹
ts e ¹	tʃ e ¹
ˀn a ¹	ˀn a ¹
l e̠ ³	l e̠ ¹
a ¹	a ¹
ŋ a ³	ŋ a ¹
b y ³	b y ³
l i ¹	ˀl i ¹
k a ²	k a ŋ ²
m u ³	m o ²
m ɛ ²	m ɛ ²
z a ²	z a ²
pʰ e ³	pʰ i̠ ³
pʰ i ²	pʰ i ²
k ɛ ³	k ɛ ³
b a ŋ ²	b a ŋ ²
a ¹	a ¹
kʰ o̠ ¹	kʰ o̠ ¹
a ²	a ¹
d u ²	d u ¹
a ¹	a ¹
t o ³	t o̠ ³
k o ¹	k j o ¹
ʒ o ³³	ʒ o̠ ¹
b a ³	b a ³
g a ²	g ɨ ¹
ˀn a ²	ˀn a ²
b ɛ̠ ¹	b ɛ̠ ¹
ɣ ɨ ²	ɣ y̠ ³
ˀl a ¹	ˀl a ¹
s i̠ ³	s i̠ ³
ʃ a̠ ³	ʃ a̠ ³
tʃʰ a ³	tsʰ i ²
m u ²	m j u ²
d u ¹	d u ¹
kʰ o ²	kʰ ɨ ²
g a ³	g j a ³
ts i ³	ts i̠ ³
m ɛ ²	m ɛ ²
s ɛ ²	s ɛ ²
ˀn y ¹	ˀn y ¹
m a ²	m ɛ ²
tsʰ a ²	tsʰ a ²
ˀm e̠ ³	ˀm j e̠ ¹
x a̠ ³	x a̠ ³
d e̠ ¹	d e̠ ¹
tʰ a ²	tʰ a ²
kʰ ɛ̠ ³	kʰ ɛ̠ ³
tsʰ u ¹	tsʰ u ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
a ¹	a ¹
ʒ i̠ ²	ʒ i̠ ³
ʃ i̠ ³	ʃ i̠ ¹
dz i ³	dz i ²
tʃʰ a ³	tʃʰ e̠ ³
ɣ e ¹	ɣ ɛ ¹
tʰ a ²	tʰ a ²
ʃ i̠ ¹	ʃ i ¹
tʃ ɛ ³	tʃ ɛ̠ ³
pʰ a ŋ ²	pʰ j a ŋ ²
