pʰ j a ⁴	pʰ r a ⁴
m o ⁴	m ɔ ⁴
ts o ⁴	ɖʐ u ŋ ⁴
tsʰ w e n ¹	tsʰ w e n ¹
ɖʐ j o ŋ ¹	z r o ŋ ¹
b o ¹	pʰ j u ŋ ¹
b o ⁴	p j u ⁴
m e ¹	m e ¹
ŋ ɯ ¹	ŋ ɯ ¹
d ɔ ¹	z ɔ ¹
ts i ¹	dz i ¹
g ɯ ŋ ³	g ɯ̃ ³
x w i ²	x w i ²
p j ɔ ¹	p r ɔ ¹
sʰ w a ⁴	sʰ w a ⁴
b j i ²	b j ɛ ²
m æ ²	m æ ²
b æ ¹	b æ ¹
pʰ æ n ³	pʰ æ n ³
tɕ i ¹	tɕ i ¹
p r i n ¹	p r e n ¹
pʰ æ ¹	pʰ æ ¹
qʰ r u ²	qʰ u ²
d o ŋ ¹	d r o ŋ ¹
ɕ i ²	s j i ²
qʰ w i ²	kʰ w ɛ ²
n j e n ¹	n j e n ¹
d o ⁴	ʈ o ⁴
ɣ o ⁴	ɣ u ⁴
q ɯ ¹	q ɯ ¹
ts r o ŋ ¹	ts u ŋ ¹
ŋ w a ⁴	ŋ w a ⁴
s r u ¹	ʂ u ¹
ɣ o ⁴	ɣ o ⁴
tsʰ o ŋ ⁵	tsʰ o ŋ ³
tsʰ e n ¹	tsʰ j e n ¹
d o ŋ ¹	ʈ o ŋ ¹
m ɯ ŋ ⁴	m ɯ ⁴
ɖʐ i ⁴	ɖʐ i ⁴
ɕ r o ŋ ¹	ɕ o ŋ ¹
d w æ n ²	ʈ w æ n ²
s r w a ¹	ɕ w i ²
tsʰ ø ¹	tsʰ u ŋ ¹
m ɯ ²	m ɯ ²
g ɯ ¹	k ɯ ¹
s r o ŋ ¹	s o ŋ ¹
