tʰ æ ⁴	tʰ r æ ⁴
ŋ o ³	ŋ o ³
tʰ j e ²	tʰ j e ²
g o ŋ ¹	ɣ o ŋ ¹
l ɔ ¹	l ɔ ¹
k æ ⁴	k æ ⁴
n e ⁴	n e ⁴
q æ n ²	q æ n ¹
ʁ o ŋ ¹	ʁ o ŋ ¹
qʰ ɔ ²	qʰ ɔ ²
k o ŋ ²	k o ŋ ²
qʰ o ŋ ¹	kʰ o ŋ ¹
tɕ j a ³	tɕ a ³
tsʰ ø ŋ ¹	tsʰ u ŋ ¹
m æ ŋ ²	m æ ²
ŋ ɔ ŋ ³	ŋ ɔ ³
k ɔ ⁵	k o ⁵
qʰ o ⁴	kʰ o ⁴
n j e n ¹	n j e n ¹
b p j o ⁴	b j o ⁴
s r o ŋ ¹	sʰ r o ŋ ¹
m ɛ ³	m i ¹
ɣ ɯ ¹	ɣ ɯ ¹
ts o ŋ ¹	dz o ŋ ¹
tʰ u ŋ ³	tʰ r u ³
ts u ⁴	dz o ⁴
b i ¹	p r i ¹
s r o ¹	s r o ¹
d e ⁴	d r ɛ ⁴
tɕ i ⁴	ts j i ⁴
ɕ a ⁴	ɕ a ⁴
r æ ³	b j o ²
n j o ŋ ¹	n j o ¹
j e n ¹	j e n ¹
ɕ i ²	s j i ²
p j a ⁴	b r æ ⁴
b æ ¹	b æ ¹
n u ŋ ¹	n j o ŋ ¹
m e ¹	m e ¹
qʰ w æ ³	qʰ w æ ³
s r æ ŋ ²	s r e ŋ ²
j o ⁴	j ɔ ⁴
ts o ⁴	ts o ⁴
n w e n ¹	ʔ w e n ¹
pʰ æ ¹	pʰ æ ¹
q æ ⁵	q æ ⁵
