ˀl i ¹	l i ¹
ˀn i ³	ˀn i ³
n e̠ ³	n e̠ ³
tʃʰ ɛ ²	tʃʰ i̠ ³
ˀl y ²	ˀl y ²
ˀn a ¹	ˀn a ¹
n̩ ²	n u ²
kʰ a ŋ ¹	kʰ j y ¹
s ɛ ²	s ɛ ²
k a ŋ ¹	k a̠ ³
tʰ a ²	tʰ a ²
a ¹	a ¹
a ²	a ²
p ɨ ²	p j ɨ ²
n̩ ²	n i ²
a ²	a ²
p a̠ ³	p a̠ ³
s i ¹	s i̠ ¹
g ɛ ²	g j ɛ ²
tʃʰ e̠ ²	d u ¹
ɣ i ¹	ɣ i ¹
v ɛ ¹	v ɛ ¹
l a ²	l a ²
g u ¹	g a ¹
m a ²	m a ²
ʃ a ²	ʃ a ¹
t o̠ ³	t o̠ ³
g i ²	g j u ²
z e̠ ³	z e̠ ³
b a ¹	b a ŋ ³
b ɛ̠ ¹	b ɛ̠ ¹
ɣ i ¹	ɣ ɨ ¹
l a ³	l a ³
m a̠ ³	m o̠ ¹
d a ¹	d a ŋ ¹
t o̠ ²	t u ³
ʃ a ¹	ʃ a ¹
dz i̠ ²	dz i ³
ŋ a ¹	ŋ a ¹
ʒ o ²	ɣ a̠ ³
dʒ a ¹	dʒ a ¹
m i ¹	m e ¹
ɣ i ¹	ɣ i ¹
ʃ y ²	s y ²
t y ¹	t y ¹
t e̠ ¹	t i̠ ¹
d i ¹	d i ¹
dz i ²	dz e ²
ɣ j i ²	b a ²
a ¹	a ¹
ˀn a ³	ˀn i ³
dʒ ɛ ¹	dʒ ɛ ¹
g ɛ ²	g ɛ ²
ˀn e ³	n e ³
l a ¹	l a ¹
a ¹	a ²
ʒ i ¹	ʒ e ¹
m j a ¹	m j a ŋ ¹
ˀn i ³	ˀn i ³
pʰ j a ¹	pʰ j a ¹
kʰ a ²	kʰ a ²
t i̠ ¹	t e ²
dz i ³	dz e ¹
ˀm o ²	ˀm i ¹
ˀn e̠ ŋ ²	n e ²
dz i ¹	dz i ¹
k a ²	g ɨ ¹
pʰ ɛ ²	v y ²
ʃ ɛ ¹	ʃ ɛ ¹
p ɨ ²	p j ɨ ²
v ¹	v u ¹
tʰ ɛ ²	tʰ a ŋ ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
i ²	i ²
n y ²	n y ²
n y ¹	n y ¹
v a ²	v a ²
kʰ o̠ ³	kʰ o̠ ³
m a ³	m a ³
tʰ ɛ ³	tʰ ɛ ³
d o̠ ¹	t u ¹
tsʰ a ¹	tsʰ a ¹
d u ²	d u ²
m e̠ ³	ˀm e̠ ³
b a ²	b a ²
tsʰ y ¹	tsʰ y ¹
b y ¹	b y ¹
m o ¹	m u ¹
tʰ o ³	tʰ e̠ ³
d a̠ ³	d a ²
tʰ a ²	tʰ a ²
kʰ i ¹	kʰ i ¹
pʰ u ²	pʰ u ²
t a ŋ ¹	t a ŋ ¹
d a ²	d a ²
b o̠ ²	b o̠ ¹
z a ²	z a ²
ts i ³	ts i̠ ³
l o̠ ¹	l u ¹
x i ²	x ɨ ²
ɣ i ³	ɣ i ¹
t ɛ̠ ²	t e ²
d j ɛ ³	tʰ u ³
m a ³	m a ³
ʒ i ¹	tʃʰ u ¹
ʒ e̠ ¹	ɣ e̠ ¹
m o ³	m u ³
s e ¹	s e ¹
dz e ¹	dz e ¹
ˀl u ¹	l u ³
m i ²	m ɨ ²
pʰ a ¹	pʰ j a ¹
s e̠ ³	s e̠ ³
tsʰ i ¹	k i ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
tsʰ y̠ ³	tsʰ y̠ ³
ts i ³	ts i ³
ˀl u ¹	ˀl u ³
ˀl a ŋ ²	l o̠ ³
pʰ i ²	p i ²
ɣ i ¹	ɣ ɨ ¹
ʃ a ¹	ʃ a ¹
d i ²	d i ²
tʰ u ¹	tʰ u ¹
kʰ a ²	dz a ¹
